# V_d,phi,Tau_0,trial_num
2.80,33.75,0.24,2.00
2.80,37.50,0.18,0.00
2.80,37.50,0.22,1.00
2.80,37.50,0.24,2.00
2.80,41.25,0.18,0.00
2.80,41.25,0.22,1.00
2.80,41.25,0.24,2.00
2.80,45.00,0.18,0.00
2.80,45.00,0.22,1.00
2.80,45.00,0.24,2.00
2.80,48.75,0.18,0.00
2.80,48.75,0.22,1.00
2.80,48.75,0.24,2.00
2.80,52.50,0.18,0.00
2.80,52.50,0.22,1.00
2.80,52.50,0.24,2.00
2.80,56.25,0.18,0.00
2.80,56.25,0.22,1.00
2.80,56.25,0.24,2.00
2.80,60.00,0.18,0.00
2.80,60.00,0.22,1.00
2.80,60.00,0.24,2.00
2.80,63.75,0.18,0.00
2.80,63.75,0.22,1.00
2.80,63.75,0.24,2.00
2.80,67.50,0.18,0.00
2.80,67.50,0.22,1.00
2.80,67.50,0.24,2.00
2.80,71.25,0.18,0.00
2.80,71.25,0.22,1.00
2.80,71.25,0.24,2.00
2.80,75.00,0.18,0.00
2.80,75.00,0.22,1.00
2.80,75.00,0.24,2.00
2.80,78.75,0.18,0.00
2.80,78.75,0.22,1.00
2.80,78.75,0.24,2.00
2.80,82.50,0.18,0.00
2.80,82.50,0.22,1.00
2.80,82.50,0.24,2.00
2.80,86.25,0.18,0.00
2.80,86.25,0.22,1.00
2.80,86.25,0.24,2.00
2.80,90.00,0.18,0.00
2.80,90.00,0.22,1.00
2.80,90.00,0.24,2.00
2.90,30.00,0.18,0.00
2.90,30.00,0.22,1.00
2.90,30.00,0.24,2.00
2.90,33.75,0.18,0.00
2.90,33.75,0.22,1.00
2.90,33.75,0.24,2.00
2.90,37.50,0.18,0.00
2.90,37.50,0.22,1.00
2.90,37.50,0.24,2.00
2.90,41.25,0.18,0.00
2.90,41.25,0.22,1.00
2.90,41.25,0.24,2.00
2.90,45.00,0.18,0.00
2.90,45.00,0.22,1.00
2.90,45.00,0.24,2.00
2.90,48.75,0.18,0.00
2.90,48.75,0.22,1.00
2.90,48.75,0.24,2.00
2.90,52.50,0.18,0.00
2.90,52.50,0.22,1.00
2.90,52.50,0.24,2.00
2.90,56.25,0.18,0.00
2.90,56.25,0.22,1.00
2.90,56.25,0.24,2.00
2.90,60.00,0.18,0.00
2.90,60.00,0.22,1.00
2.90,60.00,0.24,2.00
2.90,63.75,0.18,0.00
2.90,63.75,0.22,1.00
2.90,63.75,0.24,2.00
2.90,67.50,0.18,0.00
2.90,67.50,0.22,1.00
2.90,67.50,0.24,2.00
2.90,71.25,0.18,0.00
2.90,71.25,0.22,1.00
2.90,71.25,0.24,2.00
2.90,75.00,0.18,0.00
2.90,75.00,0.22,1.00
2.90,75.00,0.24,2.00
2.90,78.75,0.18,0.00
2.90,78.75,0.22,1.00
2.90,78.75,0.24,2.00
2.90,82.50,0.18,0.00
2.90,82.50,0.22,1.00
2.90,82.50,0.24,2.00
2.90,86.25,0.18,0.00
2.90,86.25,0.22,1.00
2.90,86.25,0.24,2.00
2.90,90.00,0.18,0.00
2.90,90.00,0.22,1.00
2.90,90.00,0.24,2.00
3.00,30.00,0.18,0.00
3.00,30.00,0.22,1.00
3.00,30.00,0.24,2.00
3.00,33.75,0.18,0.00
3.00,33.75,0.22,1.00
3.00,33.75,0.24,2.00
3.00,37.50,0.18,0.00
3.00,37.50,0.22,1.00
3.00,37.50,0.24,2.00
3.00,41.25,0.18,0.00
3.00,41.25,0.22,1.00
3.00,41.25,0.24,2.00
3.00,45.00,0.18,0.00
3.00,45.00,0.22,1.00
3.00,45.00,0.24,2.00
3.00,48.75,0.18,0.00
3.00,48.75,0.22,1.00
3.00,48.75,0.24,2.00
3.00,52.50,0.18,0.00
3.00,52.50,0.22,1.00
3.00,52.50,0.24,2.00
3.00,56.25,0.18,0.00
3.00,56.25,0.22,1.00
3.00,56.25,0.24,2.00
3.00,60.00,0.18,0.00
3.00,60.00,0.22,1.00
3.00,60.00,0.24,2.00
3.00,63.75,0.18,0.00
3.00,63.75,0.22,1.00
3.00,63.75,0.24,2.00
3.00,67.50,0.18,0.00
3.00,67.50,0.22,1.00
3.00,67.50,0.24,2.00
3.00,71.25,0.18,0.00
3.00,71.25,0.22,1.00
3.00,71.25,0.24,2.00
3.00,75.00,0.18,0.00
3.00,75.00,0.22,1.00
3.00,75.00,0.24,2.00
3.00,78.75,0.18,0.00
3.00,78.75,0.22,1.00
3.00,78.75,0.24,2.00
3.00,82.50,0.18,0.00
3.00,82.50,0.22,1.00
3.00,82.50,0.24,2.00
3.00,86.25,0.18,0.00
3.00,86.25,0.22,1.00
3.00,86.25,0.24,2.00
3.00,90.00,0.18,0.00
3.00,90.00,0.22,1.00
3.00,90.00,0.24,2.00
3.10,30.00,0.18,0.00
3.10,30.00,0.22,1.00
3.10,30.00,0.24,2.00
3.10,33.75,0.18,0.00
3.10,33.75,0.22,1.00
3.10,33.75,0.24,2.00
3.10,37.50,0.18,0.00
3.10,37.50,0.22,1.00
3.10,37.50,0.24,2.00
3.10,41.25,0.18,0.00
3.10,41.25,0.22,1.00
3.10,41.25,0.24,2.00
3.10,45.00,0.18,0.00
3.10,45.00,0.22,1.00
3.10,45.00,0.24,2.00
3.10,48.75,0.18,0.00
3.10,48.75,0.22,1.00
3.10,48.75,0.24,2.00
3.10,52.50,0.18,0.00
3.10,52.50,0.22,1.00
3.10,52.50,0.24,2.00
3.10,56.25,0.18,0.00
3.10,56.25,0.22,1.00
3.10,56.25,0.24,2.00
3.10,60.00,0.18,0.00
3.10,60.00,0.22,1.00
3.10,60.00,0.24,2.00
3.10,63.75,0.18,0.00
3.10,63.75,0.22,1.00
3.10,63.75,0.24,2.00
3.10,67.50,0.18,0.00
3.10,67.50,0.22,1.00
3.10,67.50,0.24,2.00
3.10,71.25,0.18,0.00
3.10,71.25,0.22,1.00
3.10,71.25,0.24,2.00
3.10,75.00,0.18,0.00
3.10,75.00,0.22,1.00
3.10,75.00,0.24,2.00
3.10,78.75,0.18,0.00
3.10,78.75,0.22,1.00
3.10,78.75,0.24,2.00
3.10,82.50,0.18,0.00
3.10,82.50,0.22,1.00
3.10,82.50,0.24,2.00
3.10,86.25,0.18,0.00
3.10,86.25,0.22,1.00
3.10,86.25,0.24,2.00
3.10,90.00,0.18,0.00
3.10,90.00,0.22,1.00
3.10,90.00,0.24,2.00
3.20,30.00,0.18,0.00
3.20,30.00,0.22,1.00
3.20,30.00,0.24,2.00
3.20,33.75,0.18,0.00
3.20,33.75,0.22,1.00
3.20,33.75,0.24,2.00
3.20,37.50,0.18,0.00
3.20,37.50,0.22,1.00
3.20,37.50,0.24,2.00
3.20,41.25,0.18,0.00
3.20,41.25,0.22,1.00
3.20,41.25,0.24,2.00
3.20,45.00,0.18,0.00
3.20,45.00,0.22,1.00
3.20,45.00,0.24,2.00
3.20,48.75,0.18,0.00
3.20,48.75,0.22,1.00
3.20,48.75,0.24,2.00
3.20,52.50,0.18,0.00
3.20,52.50,0.22,1.00
3.20,52.50,0.24,2.00
3.20,56.25,0.18,0.00
3.20,56.25,0.22,1.00
3.20,56.25,0.24,2.00
3.20,60.00,0.18,0.00
3.20,60.00,0.22,1.00
3.20,60.00,0.24,2.00
3.20,63.75,0.18,0.00
3.20,63.75,0.22,1.00
3.20,63.75,0.24,2.00
3.20,67.50,0.18,0.00
3.20,67.50,0.22,1.00
3.20,67.50,0.24,2.00
3.20,71.25,0.18,0.00
3.20,71.25,0.22,1.00
3.20,71.25,0.24,2.00
3.20,75.00,0.18,0.00
3.20,75.00,0.22,1.00
3.20,75.00,0.24,2.00
3.20,78.75,0.18,0.00
3.20,78.75,0.22,1.00
3.20,78.75,0.24,2.00
3.20,82.50,0.18,0.00
3.20,82.50,0.22,1.00
3.20,82.50,0.24,2.00
3.20,86.25,0.18,0.00
3.20,86.25,0.22,1.00
3.20,86.25,0.24,2.00
3.20,90.00,0.18,0.00
3.20,90.00,0.22,1.00
3.20,90.00,0.24,2.00
3.30,30.00,0.18,0.00
3.30,30.00,0.22,1.00
3.30,30.00,0.24,2.00
3.30,33.75,0.18,0.00
3.30,33.75,0.22,1.00
3.30,33.75,0.24,2.00
3.30,37.50,0.18,0.00
3.30,37.50,0.22,1.00
3.30,37.50,0.24,2.00
3.30,41.25,0.18,0.00
3.30,41.25,0.22,1.00
3.30,41.25,0.24,2.00
3.30,45.00,0.18,0.00
3.30,45.00,0.22,1.00
3.30,45.00,0.24,2.00
3.30,48.75,0.18,0.00
3.30,48.75,0.22,1.00
3.30,48.75,0.24,2.00
3.30,52.50,0.18,0.00
3.30,52.50,0.22,1.00
3.30,52.50,0.24,2.00
3.30,56.25,0.18,0.00
3.30,56.25,0.22,1.00
3.30,56.25,0.24,2.00
3.30,60.00,0.18,0.00
3.30,60.00,0.22,1.00
3.30,60.00,0.24,2.00
3.30,63.75,0.18,0.00
3.30,63.75,0.22,1.00
3.30,63.75,0.24,2.00
3.30,67.50,0.18,0.00
3.30,67.50,0.22,1.00
3.30,67.50,0.24,2.00
3.30,71.25,0.18,0.00
3.30,71.25,0.22,1.00
3.30,71.25,0.24,2.00
3.30,75.00,0.18,0.00
3.30,75.00,0.22,1.00
3.30,75.00,0.24,2.00
3.30,78.75,0.18,0.00
3.30,78.75,0.22,1.00
3.30,78.75,0.24,2.00
3.30,82.50,0.18,0.00
3.30,82.50,0.22,1.00
3.30,82.50,0.24,2.00
3.30,86.25,0.18,0.00
3.30,86.25,0.22,1.00
3.30,86.25,0.24,2.00
3.30,90.00,0.18,0.00
3.30,90.00,0.22,1.00
3.30,90.00,0.24,2.00
3.40,30.00,0.18,0.00
3.40,30.00,0.22,1.00
3.40,30.00,0.24,2.00
3.40,33.75,0.18,0.00
3.40,33.75,0.22,1.00
3.40,33.75,0.24,2.00
3.40,37.50,0.18,0.00
3.40,37.50,0.22,1.00
3.40,37.50,0.24,2.00
3.40,41.25,0.18,0.00
3.40,41.25,0.22,1.00
3.40,41.25,0.24,2.00
3.40,45.00,0.18,0.00
3.40,45.00,0.22,1.00
3.40,45.00,0.24,2.00
3.40,48.75,0.18,0.00
3.40,48.75,0.22,1.00
3.40,48.75,0.24,2.00
3.40,52.50,0.18,0.00
3.40,52.50,0.22,1.00
3.40,52.50,0.24,2.00
3.40,56.25,0.18,0.00
3.40,56.25,0.22,1.00
3.40,56.25,0.24,2.00
3.40,60.00,0.18,0.00
3.40,60.00,0.22,1.00
3.40,60.00,0.24,2.00
3.40,63.75,0.18,0.00
3.40,63.75,0.22,1.00
3.40,63.75,0.24,2.00
3.40,67.50,0.18,0.00
3.40,67.50,0.22,1.00
3.40,67.50,0.24,2.00
3.40,71.25,0.18,0.00
3.40,71.25,0.22,1.00
3.40,71.25,0.24,2.00
3.40,75.00,0.18,0.00
3.40,75.00,0.22,1.00
3.40,75.00,0.24,2.00
3.40,78.75,0.18,0.00
3.40,78.75,0.22,1.00
3.40,78.75,0.24,2.00
3.40,82.50,0.18,0.00
3.40,82.50,0.22,1.00
3.40,82.50,0.24,2.00
3.40,86.25,0.18,0.00
3.40,86.25,0.22,1.00
3.40,86.25,0.24,2.00
3.40,90.00,0.18,0.00
3.40,90.00,0.22,1.00
3.40,90.00,0.24,2.00
3.50,30.00,0.18,0.00
3.50,30.00,0.22,1.00
3.50,30.00,0.24,2.00
3.50,33.75,0.18,0.00
3.50,33.75,0.22,1.00
3.50,33.75,0.24,2.00
3.50,37.50,0.18,0.00
3.50,37.50,0.22,1.00
3.50,37.50,0.24,2.00
3.50,41.25,0.18,0.00
3.50,41.25,0.22,1.00
3.50,41.25,0.24,2.00
3.50,45.00,0.18,0.00
3.50,45.00,0.22,1.00
3.50,45.00,0.24,2.00
3.50,48.75,0.18,0.00
3.50,48.75,0.22,1.00
3.50,48.75,0.24,2.00
3.50,52.50,0.18,0.00
3.50,52.50,0.22,1.00
3.50,52.50,0.24,2.00
3.50,56.25,0.18,0.00
3.50,56.25,0.22,1.00
3.50,56.25,0.24,2.00
3.50,60.00,0.18,0.00
3.50,60.00,0.22,1.00
3.50,60.00,0.24,2.00
3.50,63.75,0.18,0.00
3.50,63.75,0.22,1.00
3.50,63.75,0.24,2.00
3.50,67.50,0.18,0.00
3.50,67.50,0.22,1.00
3.50,67.50,0.24,2.00
3.50,71.25,0.18,0.00
3.50,71.25,0.22,1.00
3.50,71.25,0.24,2.00
3.50,75.00,0.18,0.00
3.50,75.00,0.22,1.00
3.50,75.00,0.24,2.00
3.50,78.75,0.18,0.00
3.50,78.75,0.22,1.00
3.50,78.75,0.24,2.00
3.50,82.50,0.18,0.00
3.50,82.50,0.22,1.00
3.50,82.50,0.24,2.00
3.50,86.25,0.18,0.00
3.50,86.25,0.22,1.00
3.50,86.25,0.24,2.00
3.50,90.00,0.18,0.00
3.50,90.00,0.22,1.00
3.50,90.00,0.24,2.00
