Plane_Angle,V_angle,V_mag
0.0,10.0,1.2
0.0,10.0,1.2
0.0,10.0,1.486
0.0,10.0,1.644
0.0,10.0,1.771
0.0,10.0,2.057
0.0,10.0,2.089
0.0,10.0,2.343
0.0,10.0,2.533
0.0,10.0,2.629
0.0,10.0,2.914
0.0,10.0,2.978
0.0,10.0,3.2
0.0,10.0,3.422
0.0,10.0,3.486
0.0,10.0,3.771
0.0,10.0,3.867
0.0,10.0,4.057
0.0,10.0,4.311
0.0,10.0,4.343
0.0,10.0,4.629
0.0,10.0,4.756
0.0,10.0,4.914
0.0,10.0,5.2
0.0,10.0,5.2
0.0,11.905,5.2
0.0,12.051,4.914
0.0,12.162,4.629
0.0,12.286,4.343
0.0,12.5,4.057
0.0,12.667,3.771
0.0,12.857,3.486
0.0,13.2,3.2
0.0,13.478,2.914
0.0,13.81,5.2
0.0,14.0,2.629
0.0,14.0,5.2
0.0,14.103,4.914
0.0,14.324,4.629
0.0,14.444,2.343
0.0,14.444,4.756
0.0,14.571,4.343
0.0,15.0,2.057
0.0,15.0,4.057
0.0,15.0,4.311
0.0,15.333,3.771
0.0,15.333,3.867
0.0,15.714,5.2
0.0,15.714,3.486
0.0,16.154,1.771
0.0,16.154,3.422
0.0,16.154,4.914
0.0,16.4,3.2
0.0,16.486,4.629
0.0,16.857,4.343
0.0,16.957,2.914
0.0,17.273,1.486
0.0,17.273,2.978
0.0,17.5,4.057
0.0,17.619,5.2
0.0,18.0,2.629
0.0,18.0,3.771
0.0,18.0,5.2
0.0,18.205,4.914
0.0,18.571,3.486
0.0,18.649,4.629
0.0,18.889,1.2
0.0,18.889,2.343
0.0,18.889,2.533
0.0,18.889,4.756
0.0,19.143,4.343
0.0,19.524,5.2
0.0,19.6,3.2
0.0,20.0,2.057
0.0,20.0,4.057
0.0,20.0,4.311
0.0,20.256,4.914
0.0,20.435,2.914
0.0,20.667,3.771
0.0,20.667,3.867
0.0,20.811,4.629
0.0,21.429,4.343
0.0,21.429,5.2
0.0,21.429,2.089
0.0,21.429,3.486
0.0,22.0,2.629
0.0,22.0,5.2
0.0,22.308,1.771
0.0,22.308,3.422
0.0,22.308,4.914
0.0,22.5,4.057
0.0,22.8,3.2
0.0,22.973,4.629
0.0,23.333,3.771
0.0,23.333,5.2
0.0,23.333,2.343
0.0,23.333,4.756
0.0,23.714,4.343
0.0,23.913,2.914
0.0,24.286,3.486
0.0,24.359,4.914
0.0,24.545,1.486
0.0,24.545,2.978
0.0,25.0,2.057
0.0,25.0,4.057
0.0,25.0,4.311
0.0,25.135,4.629
0.0,25.238,5.2
0.0,26.0,1.644
0.0,26.0,2.629
0.0,26.0,3.2
0.0,26.0,3.771
0.0,26.0,3.867
0.0,26.0,4.343
0.0,26.0,5.2
0.0,26.41,4.914
0.0,27.143,3.486
0.0,27.143,5.2
0.0,27.297,4.629
0.0,27.391,2.914
0.0,27.5,4.057
0.0,27.778,1.2
0.0,27.778,2.343
0.0,27.778,2.533
0.0,27.778,4.756
0.0,28.286,4.343
0.0,28.462,4.914
0.0,28.462,1.771
0.0,28.462,3.422
0.0,28.667,3.771
0.0,29.048,5.2
0.0,29.2,3.2
0.0,29.459,4.629
0.0,30.0,1.2
0.0,30.0,2.057
0.0,30.0,2.629
0.0,30.0,3.486
0.0,30.0,4.057
0.0,30.0,4.311
0.0,30.0,5.2
0.0,30.513,4.914
0.0,30.571,4.343
0.0,30.87,2.914
0.0,30.952,5.2
0.0,31.333,3.771
0.0,31.333,3.867
0.0,31.622,4.629
0.0,31.818,1.486
0.0,31.818,2.978
0.0,32.222,2.343
0.0,32.222,4.756
0.0,32.4,3.2
0.0,32.5,4.057
0.0,32.564,4.914
0.0,32.857,4.343
0.0,32.857,5.2
0.0,32.857,2.089
0.0,32.857,3.486
0.0,33.784,4.629
0.0,34.0,2.629
0.0,34.0,3.771
0.0,34.0,5.2
0.0,34.348,2.914
0.0,34.615,1.771
0.0,34.615,3.422
0.0,34.615,4.914
0.0,34.762,5.2
0.0,35.0,2.057
0.0,35.0,4.057
0.0,35.0,4.311
0.0,35.143,4.343
0.0,35.6,3.2
0.0,35.714,3.486
0.0,35.946,4.629
0.0,36.667,3.771
0.0,36.667,3.867
0.0,36.667,4.914
0.0,36.667,5.2
0.0,36.667,1.2
0.0,36.667,2.343
0.0,36.667,2.533
0.0,36.667,4.756
0.0,37.429,4.343
0.0,37.5,4.057
0.0,37.826,2.914
0.0,38.0,2.629
0.0,38.0,5.2
0.0,38.108,4.629
0.0,38.571,3.486
0.0,38.571,5.2
0.0,38.718,4.914
0.0,38.8,3.2
0.0,39.091,1.486
0.0,39.091,2.978
0.0,39.333,3.771
0.0,39.714,4.343
0.0,40.0,2.057
0.0,40.0,4.057
0.0,40.0,4.311
0.0,40.27,4.629
0.0,40.476,5.2
0.0,40.769,4.914
0.0,40.769,1.771
0.0,40.769,3.422
0.0,41.111,2.343
0.0,41.111,4.756
0.0,41.304,2.914
0.0,41.429,3.486
0.0,42.0,1.644
0.0,42.0,2.629
0.0,42.0,3.2
0.0,42.0,3.771
0.0,42.0,3.867
0.0,42.0,4.343
0.0,42.0,5.2
0.0,42.381,5.2
0.0,42.432,4.629
0.0,42.5,4.057
0.0,42.821,4.914
0.0,44.286,2.089
0.0,44.286,3.486
0.0,44.286,4.343
0.0,44.286,5.2
0.0,44.595,4.629
0.0,44.667,3.771
0.0,44.783,2.914
0.0,44.872,4.914
0.0,45.0,2.057
0.0,45.0,4.057
0.0,45.0,4.311
0.0,45.2,3.2
0.0,45.556,1.2
0.0,45.556,2.343
0.0,45.556,2.533
0.0,45.556,4.756
0.0,46.0,2.629
0.0,46.0,5.2
0.0,46.19,5.2
0.0,46.364,1.486
0.0,46.364,2.978
0.0,46.571,4.343
0.0,46.757,4.629
0.0,46.923,4.914
0.0,46.923,1.771
0.0,46.923,3.422
0.0,47.143,3.486
0.0,47.333,3.771
0.0,47.333,3.867
0.0,47.5,4.057
0.0,48.095,5.2
0.0,48.261,2.914
0.0,48.4,3.2
0.0,48.857,4.343
0.0,48.919,4.629
0.0,48.974,4.914
0.0,50.0,1.2
0.0,50.0,2.057
0.0,50.0,2.343
0.0,50.0,2.629
0.0,50.0,3.486
0.0,50.0,3.771
0.0,50.0,4.057
0.0,50.0,4.311
0.0,50.0,4.756
0.0,50.0,5.2
0.0,50.0,5.2
0.0,51.026,4.914
0.0,51.081,4.629
0.0,51.143,4.343
0.0,51.6,3.2
0.0,51.739,2.914
0.0,51.905,5.2
0.0,52.5,4.057
0.0,52.667,3.771
0.0,52.667,3.867
0.0,52.857,3.486
0.0,53.077,4.914
0.0,53.077,1.771
0.0,53.077,3.422
0.0,53.243,4.629
0.0,53.429,4.343
0.0,53.636,1.486
0.0,53.636,2.978
0.0,53.81,5.2
0.0,54.0,2.629
0.0,54.0,5.2
0.0,54.444,1.2
0.0,54.444,2.343
0.0,54.444,2.533
0.0,54.444,4.756
0.0,54.8,3.2
0.0,55.0,2.057
0.0,55.0,4.057
0.0,55.0,4.311
0.0,55.128,4.914
0.0,55.217,2.914
0.0,55.333,3.771
0.0,55.405,4.629
0.0,55.714,4.343
0.0,55.714,5.2
0.0,55.714,2.089
0.0,55.714,3.486
0.0,57.179,4.914
0.0,57.5,4.057
0.0,57.568,4.629
0.0,57.619,5.2
0.0,58.0,1.644
0.0,58.0,2.629
0.0,58.0,3.2
0.0,58.0,3.771
0.0,58.0,3.867
0.0,58.0,4.343
0.0,58.0,5.2
0.0,58.571,3.486
0.0,58.696,2.914
0.0,58.889,2.343
0.0,58.889,4.756
0.0,59.231,4.914
0.0,59.231,1.771
