# vel,phi,d_ceiling,My,trial_num
3.00,90.00,0.55,-3.00,1.00
3.00,90.00,0.55,-4.00,1.00
3.00,90.00,0.55,-5.00,1.00
3.00,90.00,0.55,-6.00,1.00
3.00,90.00,0.55,-7.00,1.00
3.00,90.00,0.55,-8.00,1.00
3.00,90.00,0.55,-9.00,1.00
3.00,90.00,0.50,-3.00,1.00
3.00,90.00,0.50,-4.00,1.00
3.00,90.00,0.50,-5.00,1.00
3.00,90.00,0.50,-6.00,1.00
3.00,90.00,0.50,-7.00,1.00
3.00,90.00,0.50,-8.00,1.00
3.00,90.00,0.50,-9.00,1.00
3.00,90.00,0.45,-3.00,1.00
3.00,90.00,0.45,-4.00,1.00
3.00,90.00,0.45,-5.00,1.00
3.00,90.00,0.45,-6.00,1.00
3.00,90.00,0.45,-7.00,1.00
3.00,90.00,0.45,-8.00,1.00
3.00,90.00,0.45,-9.00,1.00
3.00,90.00,0.40,-3.00,1.00
3.00,90.00,0.40,-4.00,1.00
3.00,90.00,0.40,-5.00,1.00
3.00,90.00,0.40,-6.00,1.00
3.00,90.00,0.40,-7.00,1.00
3.00,90.00,0.40,-8.00,1.00
3.00,90.00,0.40,-9.00,1.00
3.00,90.00,0.35,-3.00,1.00
3.00,90.00,0.35,-4.00,1.00
3.00,90.00,0.35,-5.00,1.00
3.00,90.00,0.35,-6.00,1.00
3.00,90.00,0.35,-7.00,1.00
3.00,90.00,0.35,-8.00,1.00
3.00,90.00,0.35,-9.00,1.00
3.00,90.00,0.30,-3.00,1.00
3.00,90.00,0.30,-4.00,1.00
3.00,90.00,0.30,-5.00,1.00
3.00,90.00,0.30,-6.00,1.00
3.00,90.00,0.30,-7.00,1.00
3.00,90.00,0.30,-8.00,1.00
3.00,90.00,0.30,-9.00,1.00
3.00,90.00,0.25,-3.00,1.00
3.00,90.00,0.25,-4.00,1.00
3.00,90.00,0.25,-5.00,1.00
3.00,90.00,0.25,-6.00,1.00
3.00,90.00,0.25,-7.00,1.00
3.00,90.00,0.25,-8.00,1.00
3.00,90.00,0.25,-9.00,1.00
3.00,90.00,0.20,-3.00,1.00
3.00,90.00,0.20,-4.00,1.00
3.00,90.00,0.20,-5.00,1.00
3.00,90.00,0.20,-6.00,1.00
3.00,90.00,0.20,-7.00,1.00
3.00,90.00,0.20,-8.00,1.00
3.00,90.00,0.20,-9.00,1.00
3.00,90.00,0.15,-3.00,1.00
3.00,90.00,0.15,-4.00,1.00
3.00,90.00,0.15,-5.00,1.00
3.00,90.00,0.15,-6.00,1.00
3.00,90.00,0.15,-7.00,1.00
3.00,90.00,0.15,-8.00,1.00
3.00,90.00,0.15,-9.00,1.00
3.00,90.00,0.10,-3.00,1.00
3.00,90.00,0.10,-4.00,1.00
3.00,90.00,0.10,-5.00,1.00
3.00,90.00,0.10,-6.00,1.00
3.00,90.00,0.10,-7.00,1.00
3.00,90.00,0.10,-8.00,1.00
3.00,90.00,0.10,-9.00,1.00
3.00,80.00,0.55,-3.00,2.00
3.00,80.00,0.55,-4.00,2.00
3.00,80.00,0.55,-5.00,2.00
3.00,80.00,0.55,-6.00,2.00
3.00,80.00,0.55,-7.00,2.00
3.00,80.00,0.55,-8.00,2.00
3.00,80.00,0.55,-9.00,2.00
3.00,80.00,0.50,-3.00,2.00
3.00,80.00,0.50,-4.00,2.00
3.00,80.00,0.50,-5.00,2.00
3.00,80.00,0.50,-6.00,2.00
3.00,80.00,0.50,-7.00,2.00
3.00,80.00,0.50,-8.00,2.00
3.00,80.00,0.50,-9.00,2.00
3.00,80.00,0.45,-3.00,2.00
3.00,80.00,0.45,-4.00,2.00
3.00,80.00,0.45,-5.00,2.00
3.00,80.00,0.45,-6.00,2.00
3.00,80.00,0.45,-7.00,2.00
3.00,80.00,0.45,-8.00,2.00
3.00,80.00,0.45,-9.00,2.00
3.00,80.00,0.40,-3.00,2.00
3.00,80.00,0.40,-4.00,2.00
3.00,80.00,0.40,-5.00,2.00
3.00,80.00,0.40,-6.00,2.00
3.00,80.00,0.40,-7.00,2.00
3.00,80.00,0.40,-8.00,2.00
3.00,80.00,0.40,-9.00,2.00
3.00,80.00,0.35,-3.00,2.00
3.00,80.00,0.35,-4.00,2.00
3.00,80.00,0.35,-5.00,2.00
3.00,80.00,0.35,-6.00,2.00
3.00,80.00,0.35,-7.00,2.00
3.00,80.00,0.35,-8.00,2.00
3.00,80.00,0.35,-9.00,2.00
3.00,80.00,0.30,-3.00,2.00
3.00,80.00,0.30,-4.00,2.00
3.00,80.00,0.30,-5.00,2.00
3.00,80.00,0.30,-6.00,2.00
3.00,80.00,0.30,-7.00,2.00
3.00,80.00,0.30,-8.00,2.00
3.00,80.00,0.30,-9.00,2.00
3.00,80.00,0.25,-3.00,2.00
3.00,80.00,0.25,-4.00,2.00
3.00,80.00,0.25,-5.00,2.00
3.00,80.00,0.25,-6.00,2.00
3.00,80.00,0.25,-7.00,2.00
3.00,80.00,0.25,-8.00,2.00
3.00,80.00,0.25,-9.00,2.00
3.00,80.00,0.20,-3.00,2.00
3.00,80.00,0.20,-4.00,2.00
3.00,80.00,0.20,-5.00,2.00
3.00,80.00,0.20,-6.00,2.00
3.00,80.00,0.20,-7.00,2.00
3.00,80.00,0.20,-8.00,2.00
3.00,80.00,0.20,-9.00,2.00
3.00,80.00,0.15,-3.00,2.00
3.00,80.00,0.15,-4.00,2.00
3.00,80.00,0.15,-5.00,2.00
3.00,80.00,0.15,-6.00,2.00
3.00,80.00,0.15,-7.00,2.00
3.00,80.00,0.15,-8.00,2.00
3.00,80.00,0.15,-9.00,2.00
3.00,80.00,0.10,-3.00,2.00
3.00,80.00,0.10,-4.00,2.00
3.00,80.00,0.10,-5.00,2.00
3.00,80.00,0.10,-6.00,2.00
3.00,80.00,0.10,-7.00,2.00
3.00,80.00,0.10,-8.00,2.00
3.00,80.00,0.10,-9.00,2.00
3.00,70.00,0.55,-3.00,3.00
3.00,70.00,0.55,-4.00,3.00
3.00,70.00,0.55,-5.00,3.00
3.00,70.00,0.55,-6.00,3.00
3.00,70.00,0.55,-7.00,3.00
3.00,70.00,0.55,-8.00,3.00
3.00,70.00,0.55,-9.00,3.00
3.00,70.00,0.50,-3.00,3.00
3.00,70.00,0.50,-4.00,3.00
3.00,70.00,0.50,-5.00,3.00
3.00,70.00,0.50,-6.00,3.00
3.00,70.00,0.50,-7.00,3.00
3.00,70.00,0.50,-8.00,3.00
3.00,70.00,0.50,-9.00,3.00
3.00,70.00,0.45,-3.00,3.00
3.00,70.00,0.45,-4.00,3.00
3.00,70.00,0.45,-5.00,3.00
3.00,70.00,0.45,-6.00,3.00
3.00,70.00,0.45,-7.00,3.00
3.00,70.00,0.45,-8.00,3.00
3.00,70.00,0.45,-9.00,3.00
3.00,70.00,0.40,-3.00,3.00
3.00,70.00,0.40,-4.00,3.00
3.00,70.00,0.40,-5.00,3.00
3.00,70.00,0.40,-6.00,3.00
3.00,70.00,0.40,-7.00,3.00
3.00,70.00,0.40,-8.00,3.00
3.00,70.00,0.40,-9.00,3.00
3.00,70.00,0.35,-3.00,3.00
3.00,70.00,0.35,-4.00,3.00
3.00,70.00,0.35,-5.00,3.00
3.00,70.00,0.35,-6.00,3.00
3.00,70.00,0.35,-7.00,3.00
3.00,70.00,0.35,-8.00,3.00
3.00,70.00,0.35,-9.00,3.00
3.00,70.00,0.30,-3.00,3.00
3.00,70.00,0.30,-4.00,3.00
3.00,70.00,0.30,-5.00,3.00
3.00,70.00,0.30,-6.00,3.00
3.00,70.00,0.30,-7.00,3.00
3.00,70.00,0.30,-8.00,3.00
3.00,70.00,0.30,-9.00,3.00
3.00,70.00,0.25,-3.00,3.00
3.00,70.00,0.25,-4.00,3.00
3.00,70.00,0.25,-5.00,3.00
3.00,70.00,0.25,-6.00,3.00
3.00,70.00,0.25,-7.00,3.00
3.00,70.00,0.25,-8.00,3.00
3.00,70.00,0.25,-9.00,3.00
3.00,70.00,0.20,-3.00,3.00
3.00,70.00,0.20,-4.00,3.00
3.00,70.00,0.20,-5.00,3.00
3.00,70.00,0.20,-6.00,3.00
3.00,70.00,0.20,-7.00,3.00
3.00,70.00,0.20,-8.00,3.00
3.00,70.00,0.20,-9.00,3.00
3.00,70.00,0.15,-3.00,3.00
3.00,70.00,0.15,-4.00,3.00
3.00,70.00,0.15,-5.00,3.00
3.00,70.00,0.15,-6.00,3.00
3.00,70.00,0.15,-7.00,3.00
3.00,70.00,0.15,-8.00,3.00
3.00,70.00,0.15,-9.00,3.00
3.00,70.00,0.10,-3.00,3.00
3.00,70.00,0.10,-4.00,3.00
3.00,70.00,0.10,-5.00,3.00
3.00,70.00,0.10,-6.00,3.00
3.00,70.00,0.10,-7.00,3.00
3.00,70.00,0.10,-8.00,3.00
3.00,70.00,0.10,-9.00,3.00
3.00,60.00,0.55,-3.00,4.00
3.00,60.00,0.55,-4.00,4.00
3.00,60.00,0.55,-5.00,4.00
3.00,60.00,0.55,-6.00,4.00
3.00,60.00,0.55,-7.00,4.00
3.00,60.00,0.55,-8.00,4.00
3.00,60.00,0.55,-9.00,4.00
3.00,60.00,0.50,-3.00,4.00
3.00,60.00,0.50,-4.00,4.00
3.00,60.00,0.50,-5.00,4.00
3.00,60.00,0.50,-6.00,4.00
3.00,60.00,0.50,-7.00,4.00
3.00,60.00,0.50,-8.00,4.00
3.00,60.00,0.50,-9.00,4.00
3.00,60.00,0.45,-3.00,4.00
3.00,60.00,0.45,-4.00,4.00
3.00,60.00,0.45,-5.00,4.00
3.00,60.00,0.45,-6.00,4.00
3.00,60.00,0.45,-7.00,4.00
3.00,60.00,0.45,-8.00,4.00
3.00,60.00,0.45,-9.00,4.00
3.00,60.00,0.40,-3.00,4.00
3.00,60.00,0.40,-4.00,4.00
3.00,60.00,0.40,-5.00,4.00
3.00,60.00,0.40,-6.00,4.00
3.00,60.00,0.40,-7.00,4.00
3.00,60.00,0.40,-8.00,4.00
3.00,60.00,0.40,-9.00,4.00
3.00,60.00,0.35,-3.00,4.00
3.00,60.00,0.35,-4.00,4.00
3.00,60.00,0.35,-5.00,4.00
3.00,60.00,0.35,-6.00,4.00
3.00,60.00,0.35,-7.00,4.00
3.00,60.00,0.35,-8.00,4.00
3.00,60.00,0.35,-9.00,4.00
3.00,60.00,0.30,-3.00,4.00
3.00,60.00,0.30,-4.00,4.00
3.00,60.00,0.30,-5.00,4.00
3.00,60.00,0.30,-6.00,4.00
3.00,60.00,0.30,-7.00,4.00
3.00,60.00,0.30,-8.00,4.00
3.00,60.00,0.30,-9.00,4.00
3.00,60.00,0.25,-3.00,4.00
3.00,60.00,0.25,-4.00,4.00
3.00,60.00,0.25,-5.00,4.00
3.00,60.00,0.25,-6.00,4.00
3.00,60.00,0.25,-7.00,4.00
3.00,60.00,0.25,-8.00,4.00
3.00,60.00,0.25,-9.00,4.00
3.00,60.00,0.20,-3.00,4.00
3.00,60.00,0.20,-4.00,4.00
3.00,60.00,0.20,-5.00,4.00
3.00,60.00,0.20,-6.00,4.00
3.00,60.00,0.20,-7.00,4.00
3.00,60.00,0.20,-8.00,4.00
3.00,60.00,0.20,-9.00,4.00
3.00,60.00,0.15,-3.00,4.00
3.00,60.00,0.15,-4.00,4.00
3.00,60.00,0.15,-5.00,4.00
3.00,60.00,0.15,-6.00,4.00
3.00,60.00,0.15,-7.00,4.00
3.00,60.00,0.15,-8.00,4.00
3.00,60.00,0.15,-9.00,4.00
3.00,60.00,0.10,-3.00,4.00
3.00,60.00,0.10,-4.00,4.00
3.00,60.00,0.10,-5.00,4.00
3.00,60.00,0.10,-6.00,4.00
3.00,60.00,0.10,-7.00,4.00
3.00,60.00,0.10,-8.00,4.00
3.00,60.00,0.10,-9.00,4.00
3.00,50.00,0.55,-3.00,5.00
3.00,50.00,0.55,-4.00,5.00
3.00,50.00,0.55,-5.00,5.00
3.00,50.00,0.55,-6.00,5.00
3.00,50.00,0.55,-7.00,5.00
3.00,50.00,0.55,-8.00,5.00
3.00,50.00,0.55,-9.00,5.00
3.00,50.00,0.50,-3.00,5.00
3.00,50.00,0.50,-4.00,5.00
3.00,50.00,0.50,-5.00,5.00
3.00,50.00,0.50,-6.00,5.00
3.00,50.00,0.50,-7.00,5.00
3.00,50.00,0.50,-8.00,5.00
3.00,50.00,0.50,-9.00,5.00
3.00,50.00,0.45,-3.00,5.00
3.00,50.00,0.45,-4.00,5.00
3.00,50.00,0.45,-5.00,5.00
3.00,50.00,0.45,-6.00,5.00
3.00,50.00,0.45,-7.00,5.00
3.00,50.00,0.45,-8.00,5.00
3.00,50.00,0.45,-9.00,5.00
3.00,50.00,0.40,-3.00,5.00
3.00,50.00,0.40,-4.00,5.00
3.00,50.00,0.40,-5.00,5.00
3.00,50.00,0.40,-6.00,5.00
3.00,50.00,0.40,-7.00,5.00
3.00,50.00,0.40,-8.00,5.00
3.00,50.00,0.40,-9.00,5.00
3.00,50.00,0.35,-3.00,5.00
3.00,50.00,0.35,-4.00,5.00
3.00,50.00,0.35,-5.00,5.00
3.00,50.00,0.35,-6.00,5.00
3.00,50.00,0.35,-7.00,5.00
3.00,50.00,0.35,-8.00,5.00
3.00,50.00,0.35,-9.00,5.00
3.00,50.00,0.30,-3.00,5.00
3.00,50.00,0.30,-4.00,5.00
3.00,50.00,0.30,-5.00,5.00
3.00,50.00,0.30,-6.00,5.00
3.00,50.00,0.30,-7.00,5.00
3.00,50.00,0.30,-8.00,5.00
3.00,50.00,0.30,-9.00,5.00
3.00,50.00,0.25,-3.00,5.00
3.00,50.00,0.25,-4.00,5.00
3.00,50.00,0.25,-5.00,5.00
3.00,50.00,0.25,-6.00,5.00
3.00,50.00,0.25,-7.00,5.00
3.00,50.00,0.25,-8.00,5.00
3.00,50.00,0.25,-9.00,5.00
3.00,50.00,0.20,-3.00,5.00
3.00,50.00,0.20,-4.00,5.00
3.00,50.00,0.20,-5.00,5.00
3.00,50.00,0.20,-6.00,5.00
3.00,50.00,0.20,-7.00,5.00
3.00,50.00,0.20,-8.00,5.00
3.00,50.00,0.20,-9.00,5.00
3.00,50.00,0.15,-3.00,5.00
3.00,50.00,0.15,-4.00,5.00
3.00,50.00,0.15,-5.00,5.00
3.00,50.00,0.15,-6.00,5.00
3.00,50.00,0.15,-7.00,5.00
3.00,50.00,0.15,-8.00,5.00
3.00,50.00,0.15,-9.00,5.00
3.00,50.00,0.10,-3.00,5.00
3.00,50.00,0.10,-4.00,5.00
3.00,50.00,0.10,-5.00,5.00
3.00,50.00,0.10,-6.00,5.00
3.00,50.00,0.10,-7.00,5.00
3.00,50.00,0.10,-8.00,5.00
3.00,50.00,0.10,-9.00,5.00
3.00,40.00,0.55,-3.00,6.00
3.00,40.00,0.55,-4.00,6.00
3.00,40.00,0.55,-5.00,6.00
3.00,40.00,0.55,-6.00,6.00
3.00,40.00,0.55,-7.00,6.00
3.00,40.00,0.55,-8.00,6.00
3.00,40.00,0.55,-9.00,6.00
3.00,40.00,0.50,-3.00,6.00
3.00,40.00,0.50,-4.00,6.00
3.00,40.00,0.50,-5.00,6.00
3.00,40.00,0.50,-6.00,6.00
3.00,40.00,0.50,-7.00,6.00
3.00,40.00,0.50,-8.00,6.00
3.00,40.00,0.50,-9.00,6.00
3.00,40.00,0.45,-3.00,6.00
3.00,40.00,0.45,-4.00,6.00
3.00,40.00,0.45,-5.00,6.00
3.00,40.00,0.45,-6.00,6.00
3.00,40.00,0.45,-7.00,6.00
3.00,40.00,0.45,-8.00,6.00
3.00,40.00,0.45,-9.00,6.00
3.00,40.00,0.40,-3.00,6.00
3.00,40.00,0.40,-4.00,6.00
3.00,40.00,0.40,-5.00,6.00
3.00,40.00,0.40,-6.00,6.00
3.00,40.00,0.40,-7.00,6.00
3.00,40.00,0.40,-8.00,6.00
3.00,40.00,0.40,-9.00,6.00
3.00,40.00,0.35,-3.00,6.00
3.00,40.00,0.35,-4.00,6.00
3.00,40.00,0.35,-5.00,6.00
3.00,40.00,0.35,-6.00,6.00
3.00,40.00,0.35,-7.00,6.00
3.00,40.00,0.35,-8.00,6.00
3.00,40.00,0.35,-9.00,6.00
3.00,40.00,0.30,-3.00,6.00
3.00,40.00,0.30,-4.00,6.00
3.00,40.00,0.30,-5.00,6.00
3.00,40.00,0.30,-6.00,6.00
3.00,40.00,0.30,-7.00,6.00
3.00,40.00,0.30,-8.00,6.00
3.00,40.00,0.30,-9.00,6.00
3.00,40.00,0.25,-3.00,6.00
3.00,40.00,0.25,-4.00,6.00
3.00,40.00,0.25,-5.00,6.00
3.00,40.00,0.25,-6.00,6.00
3.00,40.00,0.25,-7.00,6.00
3.00,40.00,0.25,-8.00,6.00
3.00,40.00,0.25,-9.00,6.00
3.00,40.00,0.20,-3.00,6.00
3.00,40.00,0.20,-4.00,6.00
3.00,40.00,0.20,-5.00,6.00
3.00,40.00,0.20,-6.00,6.00
3.00,40.00,0.20,-7.00,6.00
3.00,40.00,0.20,-8.00,6.00
3.00,40.00,0.20,-9.00,6.00
3.00,40.00,0.15,-3.00,6.00
3.00,40.00,0.15,-4.00,6.00
3.00,40.00,0.15,-5.00,6.00
3.00,40.00,0.15,-6.00,6.00
3.00,40.00,0.15,-7.00,6.00
3.00,40.00,0.15,-8.00,6.00
3.00,40.00,0.15,-9.00,6.00
3.00,40.00,0.10,-3.00,6.00
3.00,40.00,0.10,-4.00,6.00
3.00,40.00,0.10,-5.00,6.00
3.00,40.00,0.10,-6.00,6.00
3.00,40.00,0.10,-7.00,6.00
3.00,40.00,0.10,-8.00,6.00
3.00,40.00,0.10,-9.00,6.00
3.00,30.00,0.55,-3.00,7.00
3.00,30.00,0.55,-4.00,7.00
3.00,30.00,0.55,-5.00,7.00
3.00,30.00,0.55,-6.00,7.00
3.00,30.00,0.55,-7.00,7.00
3.00,30.00,0.55,-8.00,7.00
3.00,30.00,0.55,-9.00,7.00
3.00,30.00,0.50,-3.00,7.00
3.00,30.00,0.50,-4.00,7.00
3.00,30.00,0.50,-5.00,7.00
3.00,30.00,0.50,-6.00,7.00
3.00,30.00,0.50,-7.00,7.00
3.00,30.00,0.50,-8.00,7.00
3.00,30.00,0.50,-9.00,7.00
3.00,30.00,0.45,-3.00,7.00
3.00,30.00,0.45,-4.00,7.00
3.00,30.00,0.45,-5.00,7.00
3.00,30.00,0.45,-6.00,7.00
3.00,30.00,0.45,-7.00,7.00
3.00,30.00,0.45,-8.00,7.00
3.00,30.00,0.45,-9.00,7.00
3.00,30.00,0.40,-3.00,7.00
3.00,30.00,0.40,-4.00,7.00
3.00,30.00,0.40,-5.00,7.00
3.00,30.00,0.40,-6.00,7.00
3.00,30.00,0.40,-7.00,7.00
3.00,30.00,0.40,-8.00,7.00
3.00,30.00,0.40,-9.00,7.00
3.00,30.00,0.35,-3.00,7.00
3.00,30.00,0.35,-4.00,7.00
3.00,30.00,0.35,-5.00,7.00
3.00,30.00,0.35,-6.00,7.00
3.00,30.00,0.35,-7.00,7.00
3.00,30.00,0.35,-8.00,7.00
3.00,30.00,0.35,-9.00,7.00
3.00,30.00,0.30,-3.00,7.00
3.00,30.00,0.30,-4.00,7.00
3.00,30.00,0.30,-5.00,7.00
3.00,30.00,0.30,-6.00,7.00
3.00,30.00,0.30,-7.00,7.00
3.00,30.00,0.30,-8.00,7.00
3.00,30.00,0.30,-9.00,7.00
3.00,30.00,0.25,-3.00,7.00
3.00,30.00,0.25,-4.00,7.00
3.00,30.00,0.25,-5.00,7.00
3.00,30.00,0.25,-6.00,7.00
3.00,30.00,0.25,-7.00,7.00
3.00,30.00,0.25,-8.00,7.00
3.00,30.00,0.25,-9.00,7.00
3.00,30.00,0.20,-3.00,7.00
3.00,30.00,0.20,-4.00,7.00
3.00,30.00,0.20,-5.00,7.00
3.00,30.00,0.20,-6.00,7.00
3.00,30.00,0.20,-7.00,7.00
3.00,30.00,0.20,-8.00,7.00
3.00,30.00,0.20,-9.00,7.00
3.00,30.00,0.15,-3.00,7.00
3.00,30.00,0.15,-4.00,7.00
3.00,30.00,0.15,-5.00,7.00
3.00,30.00,0.15,-6.00,7.00
3.00,30.00,0.15,-7.00,7.00
3.00,30.00,0.15,-8.00,7.00
3.00,30.00,0.15,-9.00,7.00
3.00,30.00,0.10,-3.00,7.00
3.00,30.00,0.10,-4.00,7.00
3.00,30.00,0.10,-5.00,7.00
3.00,30.00,0.10,-6.00,7.00
3.00,30.00,0.10,-7.00,7.00
3.00,30.00,0.10,-8.00,7.00
3.00,30.00,0.10,-9.00,7.00
2.75,90.00,0.55,-3.00,8.00
2.75,90.00,0.55,-4.00,8.00
2.75,90.00,0.55,-5.00,8.00
2.75,90.00,0.55,-6.00,8.00
2.75,90.00,0.55,-7.00,8.00
2.75,90.00,0.55,-8.00,8.00
2.75,90.00,0.55,-9.00,8.00
2.75,90.00,0.50,-3.00,8.00
2.75,90.00,0.50,-4.00,8.00
2.75,90.00,0.50,-5.00,8.00
2.75,90.00,0.50,-6.00,8.00
2.75,90.00,0.50,-7.00,8.00
2.75,90.00,0.50,-8.00,8.00
2.75,90.00,0.50,-9.00,8.00
2.75,90.00,0.45,-3.00,8.00
2.75,90.00,0.45,-4.00,8.00
2.75,90.00,0.45,-5.00,8.00
2.75,90.00,0.45,-6.00,8.00
2.75,90.00,0.45,-7.00,8.00
2.75,90.00,0.45,-8.00,8.00
2.75,90.00,0.45,-9.00,8.00
2.75,90.00,0.40,-3.00,8.00
2.75,90.00,0.40,-4.00,8.00
2.75,90.00,0.40,-5.00,8.00
2.75,90.00,0.40,-6.00,8.00
2.75,90.00,0.40,-7.00,8.00
2.75,90.00,0.40,-8.00,8.00
2.75,90.00,0.40,-9.00,8.00
2.75,90.00,0.35,-3.00,8.00
2.75,90.00,0.35,-4.00,8.00
2.75,90.00,0.35,-5.00,8.00
2.75,90.00,0.35,-6.00,8.00
2.75,90.00,0.35,-7.00,8.00
2.75,90.00,0.35,-8.00,8.00
2.75,90.00,0.35,-9.00,8.00
2.75,90.00,0.30,-3.00,8.00
2.75,90.00,0.30,-4.00,8.00
2.75,90.00,0.30,-5.00,8.00
2.75,90.00,0.30,-6.00,8.00
2.75,90.00,0.30,-7.00,8.00
2.75,90.00,0.30,-8.00,8.00
2.75,90.00,0.30,-9.00,8.00
2.75,90.00,0.25,-3.00,8.00
2.75,90.00,0.25,-4.00,8.00
2.75,90.00,0.25,-5.00,8.00
2.75,90.00,0.25,-6.00,8.00
2.75,90.00,0.25,-7.00,8.00
2.75,90.00,0.25,-8.00,8.00
2.75,90.00,0.25,-9.00,8.00
2.75,90.00,0.20,-3.00,8.00
2.75,90.00,0.20,-4.00,8.00
2.75,90.00,0.20,-5.00,8.00
2.75,90.00,0.20,-6.00,8.00
2.75,90.00,0.20,-7.00,8.00
2.75,90.00,0.20,-8.00,8.00
2.75,90.00,0.20,-9.00,8.00
2.75,90.00,0.15,-3.00,8.00
2.75,90.00,0.15,-4.00,8.00
2.75,90.00,0.15,-5.00,8.00
2.75,90.00,0.15,-6.00,8.00
2.75,90.00,0.15,-7.00,8.00
2.75,90.00,0.15,-8.00,8.00
2.75,90.00,0.15,-9.00,8.00
2.75,90.00,0.10,-3.00,8.00
2.75,90.00,0.10,-4.00,8.00
2.75,90.00,0.10,-5.00,8.00
2.75,90.00,0.10,-6.00,8.00
2.75,90.00,0.10,-7.00,8.00
2.75,90.00,0.10,-8.00,8.00
2.75,90.00,0.10,-9.00,8.00
2.75,80.00,0.55,-3.00,9.00
2.75,80.00,0.55,-4.00,9.00
2.75,80.00,0.55,-5.00,9.00
2.75,80.00,0.55,-6.00,9.00
2.75,80.00,0.55,-7.00,9.00
2.75,80.00,0.55,-8.00,9.00
2.75,80.00,0.55,-9.00,9.00
2.75,80.00,0.50,-3.00,9.00
2.75,80.00,0.50,-4.00,9.00
2.75,80.00,0.50,-5.00,9.00
2.75,80.00,0.50,-6.00,9.00
2.75,80.00,0.50,-7.00,9.00
2.75,80.00,0.50,-8.00,9.00
2.75,80.00,0.50,-9.00,9.00
2.75,80.00,0.45,-3.00,9.00
2.75,80.00,0.45,-4.00,9.00
2.75,80.00,0.45,-5.00,9.00
2.75,80.00,0.45,-6.00,9.00
2.75,80.00,0.45,-7.00,9.00
2.75,80.00,0.45,-8.00,9.00
2.75,80.00,0.45,-9.00,9.00
2.75,80.00,0.40,-3.00,9.00
2.75,80.00,0.40,-4.00,9.00
2.75,80.00,0.40,-5.00,9.00
2.75,80.00,0.40,-6.00,9.00
2.75,80.00,0.40,-7.00,9.00
2.75,80.00,0.40,-8.00,9.00
2.75,80.00,0.40,-9.00,9.00
2.75,80.00,0.35,-3.00,9.00
2.75,80.00,0.35,-4.00,9.00
2.75,80.00,0.35,-5.00,9.00
2.75,80.00,0.35,-6.00,9.00
2.75,80.00,0.35,-7.00,9.00
2.75,80.00,0.35,-8.00,9.00
2.75,80.00,0.35,-9.00,9.00
2.75,80.00,0.30,-3.00,9.00
2.75,80.00,0.30,-4.00,9.00
2.75,80.00,0.30,-5.00,9.00
2.75,80.00,0.30,-6.00,9.00
2.75,80.00,0.30,-7.00,9.00
2.75,80.00,0.30,-8.00,9.00
2.75,80.00,0.30,-9.00,9.00
2.75,80.00,0.25,-3.00,9.00
2.75,80.00,0.25,-4.00,9.00
2.75,80.00,0.25,-5.00,9.00
2.75,80.00,0.25,-6.00,9.00
2.75,80.00,0.25,-7.00,9.00
2.75,80.00,0.25,-8.00,9.00
2.75,80.00,0.25,-9.00,9.00
2.75,80.00,0.20,-3.00,9.00
2.75,80.00,0.20,-4.00,9.00
2.75,80.00,0.20,-5.00,9.00
2.75,80.00,0.20,-6.00,9.00
2.75,80.00,0.20,-7.00,9.00
2.75,80.00,0.20,-8.00,9.00
2.75,80.00,0.20,-9.00,9.00
2.75,80.00,0.15,-3.00,9.00
2.75,80.00,0.15,-4.00,9.00
2.75,80.00,0.15,-5.00,9.00
2.75,80.00,0.15,-6.00,9.00
2.75,80.00,0.15,-7.00,9.00
2.75,80.00,0.15,-8.00,9.00
2.75,80.00,0.15,-9.00,9.00
2.75,80.00,0.10,-3.00,9.00
2.75,80.00,0.10,-4.00,9.00
2.75,80.00,0.10,-5.00,9.00
2.75,80.00,0.10,-6.00,9.00
2.75,80.00,0.10,-7.00,9.00
2.75,80.00,0.10,-8.00,9.00
2.75,80.00,0.10,-9.00,9.00
2.75,70.00,0.55,-3.00,10.00
2.75,70.00,0.55,-4.00,10.00
2.75,70.00,0.55,-5.00,10.00
2.75,70.00,0.55,-6.00,10.00
2.75,70.00,0.55,-7.00,10.00
2.75,70.00,0.55,-8.00,10.00
2.75,70.00,0.55,-9.00,10.00
2.75,70.00,0.50,-3.00,10.00
2.75,70.00,0.50,-4.00,10.00
2.75,70.00,0.50,-5.00,10.00
2.75,70.00,0.50,-6.00,10.00
2.75,70.00,0.50,-7.00,10.00
2.75,70.00,0.50,-8.00,10.00
2.75,70.00,0.50,-9.00,10.00
2.75,70.00,0.45,-3.00,10.00
2.75,70.00,0.45,-4.00,10.00
2.75,70.00,0.45,-5.00,10.00
2.75,70.00,0.45,-6.00,10.00
2.75,70.00,0.45,-7.00,10.00
2.75,70.00,0.45,-8.00,10.00
2.75,70.00,0.45,-9.00,10.00
2.75,70.00,0.40,-3.00,10.00
2.75,70.00,0.40,-4.00,10.00
2.75,70.00,0.40,-5.00,10.00
2.75,70.00,0.40,-6.00,10.00
2.75,70.00,0.40,-7.00,10.00
2.75,70.00,0.40,-8.00,10.00
2.75,70.00,0.40,-9.00,10.00
2.75,70.00,0.35,-3.00,10.00
2.75,70.00,0.35,-4.00,10.00
2.75,70.00,0.35,-5.00,10.00
2.75,70.00,0.35,-6.00,10.00
2.75,70.00,0.35,-7.00,10.00
2.75,70.00,0.35,-8.00,10.00
2.75,70.00,0.35,-9.00,10.00
