k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,x_Ext,y_Ext,z_Ext,qw_Ext,qx_Ext,qy_Ext,qz_Ext,vx_Ext,vy_Ext,vz_Ext,wx_Ext,wy_Ext,wz_Ext,Error,x_Raw,y_Raw,z_Raw,qw_Raw,qx_Raw,qy_Raw,qz_Raw
EXP,Note:
0,0,,,,,,12.91,-0.229,-0.022,0.393,0.999,-0.006,-0.015,0.046,0.066,0.013,0.039,0.001,-0.168,0.037,,False,,8,0.022,0.008,0.038,13.2,0.028,0.083,0.225,-0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.3,3.219,-0.232,-0.021,0.392,1,0,0,0,0.043,0.01,0.015,-0.039,3.541,0.234,,-0.232,-0.021,0.392,0.998,0.033,-0.003,0.047
0,0,,,,,,12.92,-0.229,-0.021,0.393,0.999,-0.006,-0.015,0.046,0.06,0.014,0.047,-0.08,-0.121,0.029,,False,,8,0.027,0.008,0.035,13.2,0.147,0.037,0.256,-0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.3,3.177,-0.232,-0.021,0.392,1,0,0,0,0.043,0.01,0.015,-0.039,3.541,0.234,,-0.232,-0.02,0.392,0.997,0.04,-0.008,0.062
0,0,,,,,,12.93,-0.228,-0.021,0.393,0.999,-0.006,-0.017,0.047,0.054,0.016,0.059,-0.154,-0.093,0.004,,False,,8,0.034,0.009,0.032,13.2,0.271,-0.001,0.355,-0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.3,3.14,-0.232,-0.02,0.392,1,0,0,0,0.039,0.012,0.017,0.021,3.303,0.189,,-0.232,-0.02,0.393,0.997,0.04,-0.008,0.059
0,0,,,,,,12.94,-0.228,-0.021,0.394,0.999,-0.007,-0.017,0.046,0.049,0.017,0.074,-0.143,-0.08,0.0,,False,,8,0.043,0.01,0.029,13.2,0.293,-0.009,0.375,-0.25,0.0,0.4,0.0,0.0,0.034,0.0,0.0,4.3,3.14,-0.232,-0.02,0.392,1,0,0,0,0.037,0.014,0.018,0.075,3.076,0.143,,-0.232,-0.019,0.393,0.997,0.04,-0.004,0.059
0,0,,,,,,12.95,-0.228,-0.021,0.394,0.999,-0.007,-0.017,0.046,0.049,0.017,0.074,-0.143,-0.08,0.0,,False,,8,0.043,0.01,0.029,13.2,0.293,-0.009,0.375,-0.25,0.0,0.4,0.0,0.0,0.034,0.0,0.0,4.3,3.14,-0.232,-0.02,0.393,1,0,0,0,0.034,0.015,0.02,0.122,2.861,0.102,,-0.232,-0.019,0.393,0.997,0.04,-0.004,0.059
0,0,,,,,,12.96,-0.228,-0.021,0.396,0.999,-0.008,-0.018,0.046,0.038,0.018,0.115,-0.153,-0.07,0.03,,False,,8,0.068,0.01,0.022,13.2,0.339,0.014,0.246,-0.25,0.0,0.401,0.0,0.0,0.12,0.0,0.0,4.3,3.119,-0.232,-0.019,0.393,1,0,0,0,0.031,0.016,0.024,0.163,2.65,0.066,,-0.232,-0.02,0.395,0.998,0.034,-0.004,0.047
0,0,,,,,,12.97,-0.228,-0.02,0.397,0.999,-0.008,-0.018,0.047,0.032,0.02,0.141,-0.13,-0.084,0.039,,False,,8,0.083,0.012,0.019,13.2,0.301,0.038,0.206,-0.25,0.0,0.403,0.0,0.0,0.163,0.0,0.0,4.3,3.119,-0.232,-0.019,0.394,1,0,0,0,0.03,0.014,0.027,0.196,2.455,0.019,,-0.232,-0.02,0.396,0.998,0.036,-0.004,0.047
0,0,,,,,,12.98,-0.228,-0.02,0.398,0.999,-0.01,-0.019,0.047,0.025,0.023,0.17,-0.079,-0.076,0.029,,False,,8,0.1,0.013,0.015,13.2,0.247,0.045,0.242,-0.25,0.0,0.404,0.0,0.0,0.206,0.0,0.0,4.3,3.124,-0.231,-0.019,0.395,1,0,0,0,0.028,0.013,0.033,0.228,2.267,-0.022,,-0.232,-0.019,0.397,0.998,0.039,-0.001,0.058
0,0,,,,,,12.99,-0.228,-0.02,0.4,0.999,-0.01,-0.019,0.047,0.02,0.025,0.201,-0.035,-0.073,0.025,,False,,8,0.118,0.015,0.011,13.2,0.181,0.072,0.256,-0.25,0.0,0.407,0.0,0.0,0.249,0.0,0.0,4.3,3.13,-0.231,-0.019,0.396,1,0,0,0,0.026,0.013,0.04,0.257,2.091,-0.045,,-0.231,-0.019,0.398,0.996,0.049,0.005,0.073
0,0,,,,,,13.0,-0.228,-0.02,0.4,0.999,-0.01,-0.019,0.047,0.02,0.025,0.201,-0.035,-0.073,0.025,,False,,8,0.118,0.015,0.011,13.2,0.181,0.072,0.256,-0.25,0.0,0.407,0.0,0.0,0.249,0.0,0.0,4.3,3.13,-0.231,-0.019,0.397,1,0,0,0,0.027,0.013,0.045,0.291,1.928,-0.049,,-0.232,-0.019,0.399,0.996,0.054,0.023,0.074
0,0,,,,,,13.01,-0.228,-0.019,0.404,0.999,-0.01,-0.021,0.047,0.007,0.03,0.269,0.069,-0.106,0.019,,False,,8,0.159,0.018,0.004,13.2,0.029,0.15,0.275,-0.25,0.0,0.413,0.0,0.0,0.335,0.0,0.0,4.3,3.135,-0.231,-0.019,0.398,1,0,0,0,0.024,0.012,0.05,0.323,1.792,-0.05,,-0.232,-0.02,0.401,0.995,0.052,0.021,0.081
0,0,,,,,,13.02,-0.228,-0.019,0.406,0.999,-0.008,-0.021,0.047,0.0,0.032,0.305,0.061,-0.107,0.0,,False,,8,0.18,0.019,0.0,13.2,0.047,0.159,0.352,-0.25,0.0,0.416,0.0,0.0,0.378,0.0,0.0,4.3,3.14,-0.231,-0.019,0.4,1,0,0,0,0.021,0.009,0.06,0.347,1.659,-0.043,,-0.232,-0.02,0.404,0.995,0.052,0.017,0.078
0,0,,,,,,13.03,-0.229,-0.019,0.409,0.999,-0.008,-0.021,0.047,-0.007,0.033,0.341,0.026,-0.102,-0.015,,False,,8,0.201,0.019,-0.004,13.2,0.075,0.172,0.416,-0.25,0.0,0.42,0.0,0.0,0.421,0.0,0.0,4.3,3.146,-0.232,-0.019,0.402,1,0,0,0,0.017,0.008,0.074,0.367,1.526,-0.04,,-0.233,-0.019,0.407,0.995,0.052,0.018,0.077
0,0,,,,,,13.04,-0.229,-0.018,0.412,0.999,-0.008,-0.022,0.047,-0.014,0.034,0.377,-0.058,-0.058,-0.015,,False,,8,0.223,0.02,-0.008,13.2,0.075,0.172,0.416,-0.25,0.0,0.425,0.0,0.0,0.464,0.0,0.0,4.3,3.146,-0.232,-0.019,0.405,1,0,0,0,0.013,0.008,0.09,0.384,1.403,-0.039,,-0.233,-0.019,0.411,0.996,0.05,0.015,0.077
0,0,,,,,,13.05,-0.229,-0.018,0.415,0.999,-0.008,-0.022,0.047,-0.021,0.035,0.414,-0.143,-0.032,-0.029,,False,,8,0.245,0.021,-0.013,13.2,0.33,0.097,0.482,-0.25,0.0,0.429,0.0,0.0,0.507,0.0,0.0,4.3,3.161,-0.232,-0.019,0.408,1,0,0,0,0.008,0.008,0.111,0.395,1.283,-0.038,,-0.235,-0.017,0.418,0.998,0.014,-0.02,0.064
0,0,,,,,,13.06,-0.23,-0.018,0.419,0.999,-0.01,-0.022,0.046,-0.028,0.036,0.451,-0.245,-0.014,-0.035,,False,,8,0.268,0.021,-0.017,13.2,0.495,0.093,0.511,-0.25,0.0,0.435,0.0,0.0,0.55,0.0,0.0,4.3,3.161,-0.233,-0.018,0.413,1,0,0,0,-0.001,0.018,0.144,0.367,1.135,-0.051,,-0.235,-0.016,0.422,0.998,0.015,-0.014,0.062
0,0,,,,,,13.07,-0.231,-0.018,0.423,0.999,-0.011,-0.022,0.046,-0.035,0.038,0.488,-0.342,0.018,-0.019,,False,,8,0.291,0.022,-0.021,13.2,0.644,0.059,0.449,-0.25,0.0,0.44,0.0,0.0,0.593,0.0,0.0,4.3,3.172,-0.234,-0.017,0.418,1,0,0,0,-0.008,0.024,0.172,0.342,1.004,-0.064,,-0.236,-0.016,0.427,0.998,0.02,-0.011,0.061
0,0,,,,,,13.08,-0.231,-0.017,0.428,0.999,-0.012,-0.022,0.046,-0.042,0.041,0.525,-0.404,0.046,-0.029,,False,,8,0.314,0.025,-0.026,13.2,0.785,0.043,0.497,-0.25,0.0,0.447,0.0,0.0,0.636,0.0,0.0,4.3,3.172,-0.235,-0.016,0.423,1,0,0,0,-0.014,0.027,0.199,0.324,0.884,-0.076,,-0.237,-0.016,0.432,0.998,0.007,-0.004,0.061
0,0,,,,,,13.09,-0.232,-0.017,0.433,0.999,-0.015,-0.022,0.046,-0.05,0.045,0.564,-0.413,0.086,-0.046,,False,,8,0.338,0.027,-0.03,13.2,0.829,-0.012,0.573,-0.25,0.0,0.453,0.0,0.0,0.679,0.0,0.0,4.3,3.172,-0.236,-0.016,0.428,1,0,0,0,-0.02,0.029,0.224,0.291,0.781,-0.085,,-0.237,-0.016,0.435,0.997,0.031,0.051,0.048
0,0,,,,,,13.1,-0.233,-0.016,0.438,0.999,-0.017,-0.022,0.046,-0.058,0.049,0.601,-0.369,0.121,-0.044,,False,,8,0.362,0.029,-0.035,13.2,0.813,-0.049,0.572,-0.25,0.0,0.46,0.0,0.0,0.722,0.0,0.0,4.3,3.172,-0.237,-0.016,0.432,1,0,0,0,-0.025,0.029,0.241,0.285,0.745,-0.109,,-0.238,-0.016,0.439,0.997,-0.005,0.067,0.044
0,0,,,,,,13.11,-0.234,-0.016,0.444,0.999,-0.019,-0.021,0.044,-0.065,0.054,0.639,-0.301,0.114,-0.033,,False,,8,0.386,0.032,-0.04,13.2,0.762,-0.037,0.533,-0.25,0.0,0.468,0.0,0.0,0.765,0.0,0.0,4.3,3.177,-0.238,-0.016,0.437,1,0,0,0,-0.03,0.025,0.257,0.239,0.726,-0.136,,-0.238,-0.017,0.448,0.999,0.006,0.024,0.042
0,0,,,,,,13.12,-0.234,-0.016,0.444,0.999,-0.019,-0.021,0.044,-0.065,0.054,0.639,-0.301,0.114,-0.033,,False,,8,0.386,0.032,-0.04,13.2,0.762,-0.037,0.533,-0.25,0.0,0.468,0.0,0.0,0.765,0.0,0.0,4.3,3.177,-0.238,-0.016,0.443,1,0,0,0,-0.032,0.021,0.29,0.212,0.658,-0.158,,-0.238,-0.017,0.448,0.999,0.006,0.024,0.042
0,0,,,,,,13.13,-0.235,-0.015,0.45,0.999,-0.021,-0.021,0.044,-0.074,0.059,0.676,-0.204,0.117,-0.003,,False,,8,0.41,0.036,-0.045,13.2,0.61,-0.048,0.419,-0.25,0.0,0.475,0.0,0.0,0.808,0.0,0.0,4.3,3.177,-0.24,-0.016,0.457,1,0,0,0,-0.039,0.022,0.357,0.176,0.484,-0.203,,-0.24,-0.015,0.462,0.999,0.01,-0.026,0.037
0,0,,,,,,13.14,-0.236,-0.015,0.457,0.999,-0.021,-0.021,0.044,-0.08,0.065,0.716,-0.061,0.099,0.015,,False,,8,0.436,0.039,-0.049,13.2,0.415,-0.004,0.347,-0.25,0.0,0.484,0.0,0.0,0.851,0.0,0.0,4.3,3.177,-0.24,-0.016,0.457,1,0,0,0,-0.039,0.022,0.357,0.176,0.484,-0.203,,-0.241,-0.013,0.47,0.999,-0.013,-0.031,0.038
0,0,,,,,,13.15,-0.237,-0.014,0.463,0.999,-0.021,-0.019,0.044,-0.087,0.069,0.753,0.076,0.039,0.017,,False,,8,0.46,0.042,-0.053,13.2,0.222,0.067,0.341,-0.25,0.0,0.493,0.0,0.0,0.894,0.0,0.0,4.3,3.182,-0.241,-0.014,0.465,1,0,0,0,-0.044,0.032,0.392,0.134,0.375,-0.216,,-0.244,-0.012,0.479,0.998,0.008,-0.001,0.055
0,0,,,,,,13.16,-0.238,-0.014,0.471,0.999,-0.021,-0.019,0.044,-0.093,0.073,0.79,0.193,0.003,-0.002,,False,,8,0.485,0.044,-0.057,13.2,0.037,0.161,0.423,-0.25,0.0,0.502,0.0,0.0,0.937,0.0,0.0,4.3,3.177,-0.242,-0.013,0.473,1,0,0,0,-0.055,0.04,0.429,0.117,0.31,-0.209,,-0.244,-0.011,0.487,0.999,0.014,-0.002,0.048
0,0,,,,,,13.17,-0.239,-0.013,0.478,0.999,-0.019,-0.019,0.044,-0.099,0.078,0.828,0.229,-0.021,-0.024,,False,,8,0.51,0.048,-0.061,13.2,-0.037,0.217,0.515,-0.25,0.0,0.511,0.0,0.0,0.98,0.0,0.0,4.3,3.177,-0.243,-0.012,0.482,1,0,0,0,-0.061,0.044,0.464,0.109,0.249,-0.209,,-0.246,-0.011,0.496,0.997,0.024,-0.001,0.069
0,0,,,,,,13.18,-0.24,-0.012,0.486,0.999,-0.018,-0.019,0.044,-0.106,0.084,0.865,0.223,-0.013,-0.035,,False,,8,0.536,0.052,-0.066,13.2,-0.027,0.229,0.563,-0.25,0.0,0.521,0.0,0.0,1.023,0.0,0.0,4.3,3.172,-0.245,-0.011,0.491,1,0,0,0,-0.067,0.048,0.5,0.111,0.194,-0.185,,-0.247,-0.01,0.505,0.998,0.025,-0.013,0.055
0,0,,,,,,13.19,-0.242,-0.011,0.495,0.999,-0.017,-0.019,0.044,-0.112,0.088,0.902,0.202,-0.006,-0.051,,False,,8,0.562,0.055,-0.07,13.2,-0.013,0.22,0.632,-0.25,0.0,0.532,0.0,0.0,1.066,0.0,0.0,4.3,3.172,-0.245,-0.011,0.491,1,0,0,0,-0.067,0.048,0.5,0.111,0.194,-0.185,,-0.248,-0.009,0.514,0.996,0.024,-0.055,0.069
0,0,,,,,,13.2,-0.242,-0.011,0.495,0.999,-0.017,-0.019,0.044,-0.112,0.088,0.902,0.202,-0.006,-0.051,,False,,8,0.562,0.055,-0.07,13.2,-0.013,0.22,0.632,-0.25,0.0,0.532,0.0,0.0,1.066,0.0,0.0,4.3,3.172,-0.247,-0.009,0.509,1,0,0,0,-0.076,0.053,0.567,0.117,0.03,-0.154,,-0.248,-0.009,0.523,0.998,0.033,-0.029,0.047
0,0,,,,,,13.21,-0.245,-0.009,0.513,0.999,-0.015,-0.019,0.044,-0.125,0.097,0.975,0.137,0.074,-0.003,,False,,8,0.615,0.061,-0.079,13.2,0.124,0.139,0.448,-0.25,0.0,0.554,0.0,0.0,1.152,0.0,0.0,4.3,3.172,-0.248,-0.009,0.519,1,0,0,0,-0.076,0.054,0.598,0.128,-0.033,-0.157,,-0.247,-0.008,0.535,0.997,0.012,-0.038,0.069
0,0,,,,,,13.22,-0.245,-0.009,0.513,0.999,-0.015,-0.019,0.044,-0.125,0.097,0.975,0.137,0.074,-0.003,,False,,8,0.615,0.061,-0.079,13.2,0.124,0.139,0.448,-0.25,0.0,0.554,0.0,0.0,1.152,0.0,0.0,4.3,3.172,-0.248,-0.008,0.529,1,0,0,0,-0.069,0.054,0.636,0.114,-0.096,-0.133,,-0.247,-0.008,0.535,0.997,0.012,-0.038,0.069
0,0,,,,,,13.23,-0.248,-0.007,0.533,0.999,-0.014,-0.018,0.044,-0.138,0.104,1.048,-0.02,0.179,0.022,,False,,8,0.669,0.066,-0.088,13.2,0.33,0.008,0.348,-0.25,0.0,0.578,0.0,0.0,1.238,0.0,0.0,4.3,3.172,-0.259,-0.004,0.539,1,0,0,0,-0.157,0.085,0.665,0.04,1.577,0.148,,-0.275,0.002,0.556,-0.048,0.401,0.914,0.037
0,0,,,,,,13.24,-0.249,-0.007,0.543,0.999,-0.015,-0.018,0.044,-0.144,0.107,1.083,-0.054,0.207,0.02,,False,,8,0.696,0.068,-0.092,13.2,0.395,-0.022,0.359,-0.25,0.0,0.59,0.0,0.0,1.281,0.0,0.0,4.3,3.172,-0.267,-0.001,0.55,1,0,0,0,-0.209,0.106,0.704,-0.095,-0.231,0.583,,-0.275,0.002,0.556,-0.048,0.401,0.914,0.037
0,0,,,,,,13.25,-0.254,-0.004,0.565,0.999,-0.015,-0.015,0.044,-0.162,0.116,1.154,-0.034,0.225,0.002,,False,,8,0.752,0.075,-0.106,13.2,0.437,-0.052,0.437,-0.25,0.0,0.617,0.0,0.0,1.367,0.0,0.0,4.3,3.172,-0.272,0.001,0.561,1,0,0,0,-0.237,0.115,0.741,-0.148,-1.887,0.937,,-0.28,0.002,0.578,-0.01,0.336,0.942,0.009
0,0,,,,,,13.26,-0.258,-0.002,0.576,0.999,-0.015,-0.015,0.044,-0.173,0.122,1.19,-0.001,0.214,0.004,,False,,8,0.781,0.08,-0.114,13.2,0.394,-0.039,0.438,-0.25,0.0,0.631,0.0,0.0,1.41,0.0,0.0,4.3,3.177,-0.277,0.003,0.573,1,0,0,0,-0.256,0.115,0.777,-0.168,-3.35,1.191,,-0.259,-0.002,0.59,0.998,0.018,0.011,0.066
0,0,,,,,,13.27,-0.258,-0.002,0.576,0.999,-0.015,-0.015,0.044,-0.173,0.122,1.19,-0.001,0.214,0.004,,False,,8,0.781,0.08,-0.114,13.2,0.394,-0.039,0.438,-0.25,0.0,0.631,0.0,0.0,1.41,0.0,0.0,4.3,3.177,-0.271,0.001,0.585,1,0,0,0,-0.18,0.094,0.811,-0.138,-2.958,1.032,,-0.283,0.005,0.603,-0.013,0.357,0.934,0.006
0,0,,,,,,13.28,-0.264,0.001,0.6,0.999,-0.015,-0.014,0.044,-0.191,0.132,1.261,0.015,0.191,-0.033,,False,,8,0.841,0.088,-0.127,13.2,0.362,0.041,0.604,-0.25,0.0,0.66,0.0,0.0,1.496,0.0,0.0,4.3,3.172,-0.277,0.003,0.597,1,0,0,0,-0.218,0.105,0.846,-0.125,-4.275,1.271,,-0.283,0.006,0.615,-0.012,0.36,0.933,0.017
0,0,,,,,,13.29,-0.267,0.002,0.612,0.999,-0.015,-0.012,0.043,-0.199,0.137,1.297,0.021,0.189,-0.044,,False,,8,0.872,0.092,-0.134,13.2,0.372,0.053,0.66,-0.25,0.0,0.675,0.0,0.0,1.539,0.0,0.0,4.3,3.172,-0.281,0.005,0.61,1,0,0,0,-0.234,0.112,0.882,-0.094,-5.417,1.456,,-0.266,0.002,0.628,0.998,0.019,-0.002,0.055
0,0,,,,,,13.3,-0.27,0.004,0.625,0.999,-0.015,-0.012,0.043,-0.207,0.141,1.332,0.036,0.187,-0.059,,False,,8,0.903,0.095,-0.14,13.2,0.361,0.074,0.728,-0.25,0.0,0.691,0.0,0.0,1.582,0.0,0.0,4.3,3.172,-0.276,0.004,0.623,1,0,0,0,-0.17,0.094,0.916,-0.03,-4.678,1.15,,-0.286,0.009,0.641,0.002,0.38,0.925,0.016
0,0,,,,,,13.31,-0.27,0.004,0.625,0.999,-0.015,-0.012,0.043,-0.207,0.141,1.332,0.036,0.187,-0.059,,False,,8,0.903,0.095,-0.14,13.2,0.361,0.074,0.728,-0.25,0.0,0.691,0.0,0.0,1.582,0.0,0.0,4.3,3.172,-0.281,0.007,0.636,1,0,0,0,-0.202,0.109,0.949,0.108,-5.737,1.227,,-0.269,0.004,0.656,0.998,0.001,-0.02,0.066
0,0,,,,,,13.32,-0.276,0.007,0.652,0.999,-0.015,-0.011,0.043,-0.217,0.148,1.4,0.05,0.228,-0.014,,False,,8,0.967,0.102,-0.15,13.2,0.377,0.005,0.565,-0.25,0.0,0.723,0.0,0.0,1.668,0.0,0.0,4.3,3.172,-0.277,0.006,0.65,1,0,0,0,-0.15,0.094,0.988,0.012,-4.843,1.083,,-0.272,0.005,0.669,0.998,0.011,0.004,0.061
0,0,,,,,,13.33,-0.276,0.007,0.652,0.999,-0.015,-0.011,0.043,-0.217,0.148,1.4,0.05,0.228,-0.014,,False,,8,0.967,0.102,-0.15,13.2,0.377,0.005,0.565,-0.25,0.0,0.723,0.0,0.0,1.668,0.0,0.0,4.3,3.172,-0.275,0.006,0.664,1,0,0,0,-0.124,0.087,1.02,-0.208,-4.256,1.245,,-0.274,0.007,0.683,0.998,0.013,-0.002,0.056
0,0,,,,,,13.34,-0.278,0.008,0.666,0.999,-0.015,-0.01,0.043,-0.22,0.151,1.434,0.077,0.252,0.023,,False,,8,1.0,0.105,-0.154,13.2,0.311,-0.004,0.419,-0.25,0.0,0.74,0.0,0.0,1.711,0.0,0.0,4.3,3.177,-0.275,0.007,0.678,1,0,0,0,-0.113,0.085,1.056,-0.437,-3.748,1.469,,-0.274,0.007,0.683,0.998,0.013,-0.002,0.056
0,0,,,,,,13.35,-0.28,0.01,0.68,0.999,-0.015,-0.008,0.043,-0.222,0.153,1.467,0.105,0.243,0.04,,False,,8,1.033,0.108,-0.157,13.2,0.27,-0.015,0.352,-0.25,0.0,0.757,0.0,0.0,1.754,0.0,0.0,4.3,3.172,-0.275,0.007,0.678,1,0,0,0,-0.113,0.085,1.056,-0.437,-3.748,1.469,,-0.276,0.008,0.698,0.999,0.009,0.001,0.044
0,0,,,,,,13.36,-0.284,0.012,0.711,0.999,-0.014,-0.006,0.043,-0.222,0.157,1.537,0.159,0.249,0.037,,False,,8,1.107,0.113,-0.16,13.2,0.207,-0.033,0.36,-0.25,0.0,0.793,0.0,0.0,1.84,0.0,0.0,4.3,3.172,-0.277,0.009,0.707,1,0,0,0,-0.11,0.089,1.124,-0.846,-2.768,1.901,,-0.299,0.018,0.728,0.0,0.381,0.925,0.007
0,0,,,,,,13.37,-0.285,0.014,0.727,0.999,-0.012,-0.004,0.043,-0.22,0.159,1.57,0.13,0.241,0.012,,False,,8,1.144,0.116,-0.161,13.2,0.23,-0.04,0.46,-0.25,0.0,0.812,0.0,0.0,1.883,0.0,0.0,4.3,3.172,-0.287,0.014,0.723,1,0,0,0,-0.189,0.119,1.159,-0.482,-3.75,1.656,,-0.281,0.013,0.744,0.997,0.014,0.009,0.072
0,0,,,,,,13.38,-0.288,0.015,0.742,0.999,-0.012,-0.003,0.043,-0.222,0.162,1.603,0.09,0.253,0.001,,False,,8,1.181,0.119,-0.163,13.2,0.269,-0.059,0.507,-0.25,0.0,0.831,0.0,0.0,1.926,0.0,0.0,4.3,3.172,-0.286,0.014,0.739,1,0,0,0,-0.158,0.112,1.192,-0.667,-3.133,1.813,,-0.282,0.014,0.76,0.998,0.023,0.02,0.05
0,0,,,,,,13.39,-0.29,0.017,0.758,0.999,-0.012,-0.001,0.043,-0.221,0.163,1.634,0.049,0.275,0.004,,False,,8,1.218,0.122,-0.165,13.2,0.313,-0.069,0.498,-0.25,0.0,0.85,0.0,0.0,1.969,0.0,0.0,4.3,3.167,-0.285,0.014,0.755,1,0,0,0,-0.14,0.107,1.227,-0.834,-2.527,1.936,,-0.285,0.015,0.776,0.997,-0.001,0.001,0.079
0,0,,,,,,13.4,-0.292,0.018,0.774,0.999,-0.011,0.0,0.043,-0.218,0.165,1.664,0.015,0.294,-0.001,,False,,8,1.256,0.124,-0.165,13.2,0.396,-0.132,0.523,-0.25,0.0,0.87,0.0,0.0,2.012,0.0,0.0,4.3,3.167,-0.286,0.015,0.771,1,0,0,0,-0.133,0.105,1.26,-0.98,-1.986,2.07,,-0.287,0.017,0.791,0.996,-0.043,0.049,0.057
0,0,,,,,,13.41,-0.293,0.019,0.791,0.999,-0.011,0.001,0.043,-0.215,0.167,1.695,-0.042,0.302,-0.025,,False,,8,1.295,0.128,-0.164,13.2,0.485,-0.184,0.624,-0.25,0.0,0.891,0.0,0.0,2.055,0.0,0.0,4.3,3.167,-0.287,0.017,0.787,1,0,0,0,-0.133,0.107,1.287,-1.16,-1.436,2.19,,-0.29,0.019,0.808,0.996,-0.063,0.04,0.049
0,0,,,,,,13.42,-0.295,0.021,0.807,0.999,-0.012,0.004,0.043,-0.212,0.17,1.726,-0.048,0.291,-0.007,,False,,8,1.335,0.131,-0.164,13.2,0.49,-0.206,0.555,-0.25,0.0,0.912,0.0,0.0,2.098,0.0,0.0,4.3,3.167,-0.289,0.018,0.804,1,0,0,0,-0.14,0.112,1.32,-1.331,-0.937,2.28,,-0.292,0.02,0.826,0.997,0.009,0.024,0.074
0,0,,,,,,13.43,-0.297,0.022,0.824,0.999,-0.012,0.006,0.043,-0.208,0.172,1.757,-0.064,0.277,0.008,,False,,8,1.377,0.135,-0.163,13.2,0.553,-0.174,0.494,-0.25,0.0,0.933,0.0,0.0,2.141,0.0,0.0,4.3,3.161,-0.291,0.019,0.821,1,0,0,0,-0.146,0.113,1.357,-1.4,-0.489,2.354,,-0.292,0.021,0.844,0.997,-0.015,0.005,0.072
0,0,,,,,,13.44,-0.297,0.022,0.824,0.999,-0.012,0.006,0.043,-0.208,0.172,1.757,-0.064,0.277,0.008,,False,,8,1.377,0.135,-0.163,13.2,0.553,-0.174,0.494,-0.25,0.0,0.933,0.0,0.0,2.141,0.0,0.0,4.3,3.161,-0.292,0.021,0.839,1,0,0,0,-0.145,0.115,1.394,-1.469,-0.105,2.403,,-0.295,0.024,0.861,0.997,-0.033,0.035,0.061
0,0,,,,,,13.45,-0.3,0.026,0.86,0.999,-0.012,0.007,0.043,-0.203,0.185,1.819,0.008,0.181,0.032,,False,,8,1.467,0.149,-0.164,13.2,0.451,-0.026,0.401,-0.25,0.0,0.976,0.0,0.0,2.227,0.0,0.0,4.3,3.161,-0.295,0.023,0.857,1,0,0,0,-0.149,0.122,1.425,-1.549,0.272,2.438,,-0.296,0.025,0.879,0.995,-0.052,0.024,0.076
0,0,,,,,,13.46,-0.302,0.027,0.878,0.999,-0.012,0.008,0.043,-0.199,0.19,1.851,0.074,0.159,0.023,,False,,8,1.515,0.155,-0.163,13.2,0.335,0.021,0.44,-0.25,0.0,0.999,0.0,0.0,2.27,0.0,0.0,4.3,3.161,-0.296,0.024,0.874,1,0,0,0,-0.151,0.124,1.456,-1.62,0.593,2.467,,-0.298,0.027,0.898,0.996,-0.048,0.026,0.076
0,0,,,,,,13.47,-0.303,0.029,0.896,0.999,-0.012,0.008,0.043,-0.195,0.192,1.882,0.165,0.07,0.034,,False,,8,1.564,0.159,-0.162,13.2,0.225,0.103,0.393,-0.25,0.0,1.022,0.0,0.0,2.313,0.0,0.0,4.3,3.161,-0.298,0.026,0.893,1,0,0,0,-0.154,0.128,1.489,-1.67,0.88,2.478,,-0.3,0.027,0.916,0.996,-0.029,0.037,0.072
0,0,,,,,,13.48,-0.305,0.031,0.915,0.999,-0.011,0.01,0.043,-0.191,0.194,1.913,0.22,0.077,0.01,,False,,8,1.614,0.164,-0.161,13.2,0.129,0.042,0.486,-0.25,0.0,1.045,0.0,0.0,2.356,0.0,0.0,4.3,3.161,-0.3,0.027,0.911,1,0,0,0,-0.157,0.129,1.519,-1.69,1.147,2.471,,-0.302,0.03,0.937,0.998,0.033,0.033,0.034
0,0,,,,,,13.49,-0.306,0.032,0.934,0.999,-0.01,0.01,0.043,-0.187,0.195,1.943,0.277,0.05,0.018,,False,,8,1.667,0.167,-0.16,13.2,0.044,0.109,0.451,-0.25,0.0,1.069,0.0,0.0,2.399,0.0,0.0,4.3,3.161,-0.302,0.029,0.931,1,0,0,0,-0.157,0.133,1.557,-1.647,1.394,2.411,,-0.306,0.032,0.956,0.998,0.021,0.036,0.039
0,0,,,,,,13.5,-0.306,0.032,0.934,0.999,-0.01,0.01,0.043,-0.187,0.195,1.943,0.277,0.05,0.018,,False,,8,1.667,0.167,-0.16,13.2,0.044,0.109,0.451,-0.25,0.0,1.069,0.0,0.0,2.399,0.0,0.0,4.3,3.161,-0.304,0.031,0.951,1,0,0,0,-0.169,0.14,1.592,-1.608,1.608,2.351,,-0.307,0.034,0.976,0.997,0.035,0.029,0.059
