vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,G2,RREV_sig,G1_sig,G2_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
3.5,2.25,5,0.5333333611488342,4.24,3.25,0.39,0.04,0.51,0.02,4.5426875,-2.76025,-1.4344374999999998,-106.44166872738526,0.2998749999999859,[0. 0.],[0. 0.],[1.53 3.94 1.58],[2. 2. 2.]
3.5,2.5,0,0.8275862336158752,4.49,9.83,3.52,0.11,0.06,0.01,4.964125,-3.3457500000000002,-3.7102083333333336,-135.85765845521755,0.23475000000000534,[0. 0.],[0. 0.],[3.77 6.93 3.33],[2. 2. 2.]
3.5,2.5,2,0.9259259104728699,4.44,9.84,2.46,0.06,0.0,0.08,5.01164,-3.38132,-4.10856,-139.58105209137216,0.23044000000000647,[0. 0.],[0. 0.],[2.52 4.52 4.5 ],[2. 2. 2.]
3.5,2.5,3,0.7333333492279053,4.55,5.1,2.05,0.02,0.12,0.1,4.83109090909091,-3.2615,-1.7773636363636363,-93.76944892705042,0.2718181818181826,[0. 0.],[0. 0.],[3.87 5.35 4.57],[2. 2. 2.]
3.5,2.5,5,0.6333333253860474,4.31,8.3,7.83,0.04,0.14,0.37,4.654263157894736,-3.1422105263157896,-1.4452105263157895,-86.65319092664473,0.29415789473684195,[0. 0.],[0. 0.],[6.65 5.19 2.63],[2. 2. 2.]
3.5,2.75,0,1.0,3.94,5.1,1.99,0.01,0.0,0.14,4.513681818181819,-3.353136363636364,-1.6225454545454545,-110.55936657509346,0.30904545454545357,[0. 0.],[0. 0.],[3.32 5.96 4.2 ],[2. 2. 2.]
3.5,2.75,1,0.931034505367279,4.21,8.18,3.33,0.0,0.0,1.92,4.69462962962963,-3.4795555555555553,-2.7006296296296304,-125.00663178215427,0.26251851851853075,[0. 0.],[0. 0.],[5.49 6.44 1.18],[2. 2. 2.]
3.5,2.75,2,0.7666666507720947,4.69,5.86,1.08,0.03,0.17,0.0,5.006391304347825,-3.713478260869565,-2.568826086956521,-102.79789175320356,0.24734782608695993,[0. 0.],[0. 0.],[1.6  6.37 4.02],[2. 2. 2.]
3.5,2.75,5,0.46666666865348816,5.28,9.95,2.25,0.21,0.03,0.12,5.579857142857143,-4.139428571428572,-4.594499999999999,-112.93805566317936,0.19357142857142748,[0. 0.],[0. 0.],[5.31 4.71 2.47],[2. 2. 2.]
3.75,0.0,0,0.3333333432674408,3.83,8.51,1.95,0.13,0.25,0.25,4.270666666666667,-0.005,-3.6165555555555553,-130.6013661758,0.29533333333333506,[0. 0.],[0. 0.],[6.15 4.97 1.14],[2. 2. 2.]
3.75,0.0,2,0.5333333611488342,4.04,7.72,14.68,0.01,0.03,2.58,4.4311875,-0.004687500000000001,-2.9848125000000003,-146.15677661951793,0.2906874999999971,[0. 0.],[0. 0.],[3.78 6.63 5.76],[2. 2. 2.]
3.75,0.0,3,0.30000001192092896,4.03,6.81,8.59,0.0,0.01,0.13,4.372111111111112,-0.005222222222222222,-2.9754444444444443,-168.8110272189095,0.29011111111111,[0. 0.],[0. 0.],[6.82 6.89 6.53],[2. 2. 2.]
3.75,0.0,4,0.46666666865348816,3.92,6.94,3.33,0.05,0.03,0.01,4.2371428571428575,-0.0045,-2.939357142857143,-144.75909582255875,0.3057142857143,[0. 0.],[0. 0.],[1.8  4.29 2.93],[2. 2. 2.]
3.75,0.0,5,0.23529411852359772,3.82,1.69,2.68,0.0,0.01,0.02,4.2525,-0.00375,-0.35749999999999993,-36.38110147363357,0.3749999999999716,[0. 0.],[0. 0.],[6.43 3.04 1.12],[2. 2. 2.]
3.75,0.25,0,0.8666666746139526,4.18,10.98,4.35,0.0,0.1,0.31,4.589769230769231,-0.29419230769230764,-4.898192307692308,-122.99413364405089,0.25788461538460605,[0. 0.],[0. 0.],[4.72 6.85 5.09],[2. 2. 2.]
3.75,0.25,1,0.6206896305084229,4.16,8.78,2.91,0.04,0.17,0.02,4.499777777777777,-0.2882777777777778,-3.8643888888888887,-144.072705696406,0.2674444444444488,[0. 0.],[0. 0.],[4.08 4.1  1.18],[2. 2. 2.]
3.75,0.25,2,0.5333333611488342,4.07,7.8,4.47,0.04,0.02,0.1,4.349500000000001,-0.279,-3.26525,-170.7338378728278,0.29856250000000273,[0. 0.],[0. 0.],[5.27 4.68 3.41],[2. 2. 2.]
3.75,0.25,4,0.3448275923728943,3.79,6.8,3.19,0.01,0.02,0.22,4.154,-0.2674,-2.7413000000000003,-162.41189556984506,0.31759999999998173,[0. 0.],[0. 0.],[1.63 6.12 2.34],[2. 2. 2.]
3.75,0.25,5,0.7333333492279053,4.32,13.55,1.56,0.05,0.09,0.11,4.701500000000001,-0.31695454545454543,-6.327045454545455,-68.59230952265065,0.24413636363636793,[0. 0.],[0. 0.],[5.   1.51 1.27],[2. 2. 2.]
3.75,0.5,2,0.23333333432674408,4.16,7.15,3.22,0.02,0.04,0.04,4.501285714285714,-0.5731428571428572,-3.0264285714285712,-157.17449476401833,0.2878571428571409,[0. 0.],[0. 0.],[4.2  5.48 2.69],[2. 2. 2.]
3.75,0.5,3,0.6666666865348816,3.9,7.53,3.62,0.05,0.01,0.19,4.358750000000001,-0.5555,-3.08315,-146.03943415632457,0.29220000000000257,[0. 0.],[0. 0.],[3.74 5.53 4.76],[2. 2. 2.]
3.75,0.5,5,0.27586206793785095,3.91,6.09,2.93,0.04,0.06,0.17,4.144625,-0.5286249999999999,-2.37775,-163.6280281951004,0.333500000000001,[0. 0.],[0. 0.],[2.28 5.58 4.03],[2. 2. 2.]
3.75,0.75,0,0.6666666865348816,4.42,9.78,2.92,0.01,0.38,0.17,4.71405,-0.89665,-4.3146,-157.14919963968202,0.2362500000000182,[0. 0.],[0. 0.],[5.63 6.9  4.66],[2. 2. 2.]
3.75,0.75,1,0.2068965584039688,4.2,4.68,2.19,0.01,0.24,0.03,4.680666666666667,-0.8893333333333334,-1.9745,-100.3724321876661,0.269999999999996,[0. 0.],[0. 0.],[4.35 4.3  2.27],[2. 2. 2.]
3.75,0.75,2,0.23333333432674408,4.34,7.27,2.18,0.1,0.1,0.11,4.589142857142856,-0.8755714285714287,-3.1604285714285716,-143.07209868840545,0.26342857142859494,[0. 0.],[0. 0.],[3.93 6.12 2.8 ],[2. 2. 2.]
3.75,0.75,3,0.4333333373069763,4.43,9.15,2.1,0.0,0.11,0.04,4.688999999999999,-0.8916153846153846,-4.114307692307692,-135.4669008227208,0.24776923076924853,[0. 0.],[0. 0.],[1.32 6.9  2.58],[2. 2. 2.]
3.75,0.75,5,0.30000001192092896,4.06,7.42,6.97,0.07,0.28,0.29,4.288666666666667,-0.8157777777777777,-2.5773333333333337,-163.82702149013573,0.2995555555555711,[0. 0.],[0. 0.],[5.54 5.7  2.34],[2. 2. 2.]
3.75,1.0,5,0.5333333611488342,3.97,8.59,3.81,0.0,0.12,0.06,4.5629375,-1.1569375,-3.4768749999999997,-155.9965366770225,0.26499999999999346,[0. 0.],[0. 0.],[3.25 1.95 1.82],[2. 2. 2.]
3.75,1.25,2,0.6206896305084229,3.99,7.24,0.58,0.1,0.02,0.09,4.416222222222221,-1.3999444444444444,-3.1114444444444445,-136.27327093570247,0.2839444444444534,[0. 0.],[0. 0.],[4.88 5.07 1.71],[2. 2. 2.]
3.75,1.25,3,0.3103448152542114,3.94,6.3,4.01,0.02,0.04,0.2,4.423,-1.4002222222222223,-2.2302222222222223,-140.61064746074163,0.2909999999999968,[0. 0.],[0. 0.],[3.4  4.36 1.89],[2. 2. 2.]
3.75,1.25,4,0.4000000059604645,4.54,9.03,1.88,0.04,0.03,0.04,4.807250000000001,-1.521,-4.052333333333334,-155.01019806267232,0.25174999999999653,[0. 0.],[0. 0.],[3.85 6.34 1.11],[2. 2. 2.]
3.75,1.5,0,0.699999988079071,4.15,7.12,2.95,0.11,1.3,0.92,4.538571428571429,-1.7226666666666668,-3.1061428571428573,-146.5366781000569,0.26842857142857957,[0. 0.],[0. 0.],[5.35 6.02 5.59],[2. 2. 2.]
3.75,1.5,1,0.5555555820465088,4.02,5.57,2.34,0.1,0.13,0.4,4.3468,-1.6523999999999999,-2.109266666666666,-130.63246448663114,0.3005333333333359,[0. 0.],[0. 0.],[2.55 5.35 3.76],[2. 2. 2.]
3.75,1.5,3,0.3928571343421936,3.9,5.1,3.12,0.01,0.07,0.28,4.114454545454546,-1.5627272727272725,-1.6210000000000002,-103.4209526540019,0.34899999999995335,[0. 0.],[0. 0.],[3.34 5.35 5.23],[2. 2. 2.]
3.75,1.5,5,0.7333333492279053,4.36,12.4,4.09,0.06,1.11,0.21,4.799772727272727,-1.8212272727272727,-5.2604999999999995,-162.4772520854485,0.23922727272728458,[0. 0.],[0. 0.],[1.75 5.84 4.88],[2. 2. 2.]
3.75,1.75,1,0.7777777910232544,4.11,11.34,5.8,0.05,0.42,0.0,4.634238095238096,-2.0553809523809523,-4.069857142857142,-139.14901686010734,0.2558571428571451,[0. 0.],[0. 0.],[2.89 6.51 4.31],[2. 2. 2.]
3.75,1.75,2,0.7666666507720947,4.54,10.03,2.29,0.03,0.24,0.28,4.922173913043479,-2.1804782608695654,-4.366695652173912,-141.97549767924156,0.2309565217391112,[0. 0.],[0. 0.],[2.75 6.   5.3 ],[2. 2. 2.]
3.75,1.75,3,0.6190476417541504,3.91,4.68,0.45,0.13,0.38,0.08,4.275153846153846,-1.8882307692307698,-1.9036923076923076,-138.8380884392187,0.3269999999999894,[0. 0.],[0. 0.],[5.06 3.4  1.53],[2. 2. 2.]
3.75,1.75,5,0.6000000238418579,4.23,8.95,2.31,0.02,2.07,0.04,4.59611111111111,-2.0341666666666667,-3.5904999999999996,-147.89626022781428,0.26800000000000385,[0. 0.],[0. 0.],[6.5  4.44 3.45],[2. 2. 2.]
3.75,2.0,0,0.6206896305084229,4.16,8.21,5.45,0.08,0.19,0.01,4.547777777777778,-2.2952222222222223,-2.4882777777777783,-120.24401828937701,0.2673888888888819,[0. 0.],[0. 0.],[1.14 6.86 4.68],[2. 2. 2.]
3.75,2.0,2,0.8333333134651184,4.11,8.26,4.42,0.03,0.1,0.21,4.54836,-2.29948,-2.7235999999999994,-129.05208646762682,0.2679599999999982,[0. 0.],[0. 0.],[4.28 5.01 4.51],[2. 2. 2.]
3.75,2.0,3,0.7931034564971924,4.23,11.76,9.03,0.1,0.4,0.21,4.734391304347826,-2.3939565217391308,-3.478521739130435,-139.20755146055376,0.2516956521739125,[0. 0.],[0. 0.],[1.05 6.73 4.33],[2. 2. 2.]
3.75,2.0,4,0.8620689511299133,3.99,7.6,4.15,0.02,0.11,0.38,4.35108,-2.1992399999999996,-2.39528,-139.8868653182594,0.29440000000000055,[0. 0.],[0. 0.],[6.2 6.1 1.5],[2. 2. 2.]
3.75,2.0,5,0.699999988079071,4.48,7.98,2.2,0.06,0.09,0.16,4.804095238095239,-2.428666666666667,-3.3201904761904766,-131.42281095424264,0.24057142857141334,[0. 0.],[0. 0.],[1.67 5.34 4.71],[2. 2. 2.]
3.75,2.25,0,0.800000011920929,4.08,5.42,2.07,0.08,0.03,0.02,4.643583333333333,-2.64425,-1.9785416666666666,-89.64546398466386,0.27233333333334525,[0. 0.],[0. 0.],[4.74 2.04 1.94],[2. 2. 2.]
3.75,2.25,2,0.7931034564971924,4.23,5.96,1.61,0.05,0.03,0.02,4.547086956521739,-2.5917391304347825,-2.2861304347826086,-121.46017990810915,0.2757826086956429,[0. 0.],[0. 0.],[4.96 4.87 3.11],[2. 2. 2.]
3.75,2.25,5,0.7241379022598267,4.11,7.57,3.28,0.01,0.0,0.02,4.561571428571429,-2.5980952380952376,-2.6040476190476194,-121.49298561132478,0.28128571428571614,[0. 0.],[0. 0.],[3.5  4.26 3.92],[2. 2. 2.]
3.75,2.5,0,0.6896551847457886,4.05,4.34,1.54,0.03,0.39,0.04,4.47395,-2.82765,-1.50915,-103.11336578181042,0.3008999999999844,[0. 0.],[0. 0.],[3.01 3.24 1.61],[2. 2. 2.]
3.75,2.5,1,1.0,3.9,7.89,4.51,0.01,0.14,0.03,4.356458333333333,-2.7596666666666665,-2.1941666666666664,-136.4270736299795,0.31366666666665804,[0. 0.],[0. 0.],[3.26 6.73 3.39],[2. 2. 2.]
3.75,2.5,2,0.8620689511299133,4.45,9.52,3.45,0.0,0.17,0.16,4.8056,-3.03584,-3.55036,-128.74235338328444,0.24235999999998056,[0. 0.],[0. 0.],[2.78 3.32 2.06],[2. 2. 2.]
3.75,2.5,4,0.8275862336158752,4.62,9.2,0.66,0.01,0.14,0.09,5.095291666666667,-3.2262083333333336,-4.439166666666667,-138.2120369547805,0.22237499999999955,[0. 0.],[0. 0.],[3.62 5.64 2.42],[2. 2. 2.]
3.75,2.5,5,0.7666666507720947,4.0,3.71,0.87,0.0,0.03,0.04,4.384043478260869,-2.772391304347826,-1.3865652173913043,-107.05168924236699,0.32717391304347726,[0. 0.],[0. 0.],[3.91 4.26 1.33],[2. 2. 2.]
3.75,2.75,0,1.0,4.05,9.87,6.03,0.09,0.0,0.49,4.458592592592593,-3.101666666666666,-2.524518518518519,-133.36443534672475,0.2774814814814827,[0. 0.],[0. 0.],[3.84 6.28 5.76],[2. 2. 2.]
3.75,2.75,1,0.8666666746139526,4.03,6.36,4.16,0.08,0.07,0.23,4.4657307692307695,-3.1054999999999997,-1.5441538461538462,-99.11531967360914,0.30273076923076847,[0. 0.],[0. 0.],[2.2  6.58 1.95],[2. 2. 2.]
3.75,2.75,2,0.9599999785423279,4.19,8.24,2.02,0.01,0.32,0.02,4.622916666666667,-3.2131666666666665,-3.2422083333333336,-127.68085307607129,0.26095833333333,[0. 0.],[0. 0.],[1.14 5.96 2.06],[2. 2. 2.]
3.75,2.75,3,0.7333333492279053,4.59,5.26,0.96,0.08,0.26,0.2,4.767954545454547,-3.3122272727272732,-2.1864090909090907,-103.74714371214027,0.263500000000005,[0. 0.],[0. 0.],[4.11 2.79 2.14],[2. 2. 2.]
3.75,2.75,4,0.5333333611488342,4.33,5.71,0.96,0.18,0.4,0.01,4.663562499999999,-3.2481875000000002,-2.3624375,-123.84372404118595,0.26756250000001813,[0. 0.],[0. 0.],[4.75 4.97 1.49],[2. 2. 2.]
3.75,2.75,5,0.6666666865348816,3.93,6.35,5.2,0.17,0.02,0.01,4.3013125,-2.988875,-1.179625,-104.96085178632603,0.34556249999999933,[0. 0.],[0. 0.],[4.99 5.36 4.48],[2. 2. 2.]
4.0,0.0,1,0.6000000238418579,4.25,9.62,3.88,0.02,0.15,0.46,4.530111111111111,-0.006611111111111113,-4.32,-132.44093921559136,0.27283333333335436,[0. 0.],[0. 0.],[1.36 6.82 1.42],[2. 2. 2.]
4.0,0.0,3,0.5517241358757019,4.25,8.94,2.97,0.0,0.33,0.04,4.6313125,-0.0063750000000000005,-4.1108125,-142.04546656028697,0.25668749999999907,[0. 0.],[0. 0.],[4.01 5.05 2.17],[2. 2. 2.]
4.0,0.0,4,0.5357142686843872,3.87,8.5,3.17,0.06,4.21,0.14,4.300866666666667,-0.006333333333333335,-4.016333333333334,-78.9914065965519,0.27466666666666695,[0. 0.],[0. 0.],[1.67 3.93 1.34],[2. 2. 2.]
4.0,0.25,0,0.6153846383094788,3.99,12.43,2.23,0.01,0.67,0.11,4.468687500000001,-0.2724375,-5.5661249999999995,-71.74979071409183,0.26487500000000086,[0. 0.],[0. 0.],[5.48 6.69 2.27],[2. 2. 2.]
4.0,0.25,1,0.6000000238418579,4.01,8.56,1.66,0.02,0.26,0.8,4.283277777777779,-0.2614444444444444,-3.6256111111111107,-137.28116755780002,0.2998333333333171,[0. 0.],[0. 0.],[5.81 5.78 1.34],[2. 2. 2.]
4.0,0.25,2,0.6206896305084229,3.86,7.75,4.22,0.01,0.56,0.07,4.228555555555555,-0.25850000000000006,-3.2022222222222223,-154.38396136635725,0.30794444444443364,[0. 0.],[0. 0.],[3.85 4.92 4.05],[2. 2. 2.]
4.0,0.25,3,0.7666666507720947,4.07,10.77,4.28,0.01,0.04,0.14,4.45995652173913,-0.2713478260869565,-4.694217391304348,-66.21746314239637,0.26369565217391544,[0. 0.],[0. 0.],[3.02 5.08 3.59],[2. 2. 2.]
4.0,0.25,4,0.5,3.89,7.33,1.77,0.02,0.02,0.18,4.2741999999999996,-0.26026666666666665,-3.085733333333333,-152.65193197501273,0.2988666666666783,[0. 0.],[0. 0.],[4.31 6.88 3.22],[2. 2. 2.]
4.0,0.25,5,0.46666666865348816,3.73,6.72,3.56,0.0,0.04,0.11,4.114357142857143,-0.2514285714285714,-2.6778571428571434,-146.6394503627305,0.33578571428570775,[0. 0.],[0. 0.],[5.13 6.74 1.03],[2. 2. 2.]
4.0,0.5,3,0.699999988079071,4.41,12.95,8.32,0.0,0.05,0.1,4.785952380952381,-0.5731428571428572,-5.723238095238095,-89.55328758767607,0.24247619047618163,[0. 0.],[0. 0.],[2.95 5.67 4.31],[2. 2. 2.]
4.0,0.5,4,0.4000000059604645,3.92,5.33,1.97,0.05,0.0,0.03,4.188083333333332,-0.5038333333333332,-2.1314999999999995,-162.78593877269643,0.32433333333331876,[0. 0.],[0. 0.],[3.78 4.82 1.69],[2. 2. 2.]
4.0,0.75,1,0.6333333253860474,4.21,8.56,5.58,0.05,0.1,0.16,4.456736842105262,-0.7999999999999999,-3.3669473684210525,-161.44432544084972,0.2782105263158105,[0. 0.],[0. 0.],[3.43 5.46 2.94],[2. 2. 2.]
4.0,0.75,2,0.23076923191547394,3.6,5.03,1.66,0.02,0.08,0.31,3.9623333333333335,-0.7125,-1.8843333333333332,-161.06753541798903,0.3569999999999898,[0. 0.],[0. 0.],[2.64 6.17 1.  ],[2. 2. 2.]
4.0,0.75,3,0.5333333611488342,4.0,6.52,3.51,0.11,0.02,0.67,4.321562500000001,-0.7757499999999999,-2.5424375,-158.26301884972827,0.30093750000003183,[0. 0.],[0. 0.],[6.49 5.47 3.39],[2. 2. 2.]
4.0,0.75,5,0.5862069129943848,3.74,6.66,1.73,0.05,0.21,0.03,4.111764705882353,-0.7392941176470588,-2.6162941176470587,-143.28104665290667,0.3199411764705862,[0. 0.],[0. 0.],[2.12 6.39 2.68],[2. 2. 2.]
4.0,1.0,0,0.48275861144065857,4.45,9.85,6.53,0.18,1.08,0.11,4.823714285714286,-1.1512857142857142,-4.215071428571428,-148.79379880016384,0.23778571428571585,[0. 0.],[0. 0.],[6.29 5.28 2.84],[2. 2. 2.]
4.0,1.0,1,0.5666666626930237,4.48,15.1,3.14,0.0,0.8,0.01,5.149529411764706,-1.2280588235294116,-7.301058823529411,-166.62069989824866,0.2042352941176258,[0. 0.],[0. 0.],[5.66 6.36 3.07],[2. 2. 2.]
4.0,1.0,4,0.6000000238418579,3.9,9.49,5.35,0.07,0.12,0.83,4.472833333333333,-1.0697777777777777,-3.653166666666667,-160.76498820839615,0.2774444444444469,[0. 0.],[0. 0.],[6.1  3.   2.22],[2. 2. 2.]
4.0,1.0,5,0.4000000059604645,3.95,6.37,4.91,0.01,0.01,0.06,4.19725,-1.0015,-2.185166666666666,-146.16836125468114,0.3145833333333788,[0. 0.],[0. 0.],[2.22 5.96 4.6 ],[2. 2. 2.]
4.0,1.25,0,0.5666666626930237,4.45,12.44,6.42,0.0,0.05,0.25,4.9331764705882355,-1.470411764705882,-5.198705882352942,-161.65019078529008,0.24105882352941177,[0. 0.],[0. 0.],[3.27 5.36 2.31],[2. 2. 2.]
4.0,1.25,1,0.5333333611488342,4.13,7.17,4.54,0.03,0.02,0.22,4.483750000000001,-1.3360625,-2.6005624999999997,-126.75695634360979,0.2711249999999943,[0. 0.],[0. 0.],[5.17 5.15 5.11],[2. 2. 2.]
4.0,1.25,2,0.7666666507720947,4.07,8.65,4.11,0.01,0.11,0.05,4.434652173913044,-1.3219130434782607,-3.2864347826086955,-159.46150350405202,0.27860869565215973,[0. 0.],[0. 0.],[2.9  4.36 4.08],[2. 2. 2.]
4.0,1.25,3,0.6666666865348816,4.2,8.79,3.85,0.04,0.01,0.01,4.452750000000001,-1.32575,-3.3998000000000004,-146.23073905469357,0.2632000000000005,[0. 0.],[0. 0.],[1.43 6.68 2.31],[2. 2. 2.]
4.0,1.25,5,0.7931034564971924,4.69,12.89,0.85,0.18,0.38,0.02,5.130826086956521,-1.5305217391304347,-6.474782608695653,-152.1349263305117,0.20547826086956147,[0. 0.],[0. 0.],[3.36 2.71 1.08],[2. 2. 2.]
4.0,1.5,0,0.7666666507720947,4.36,8.75,0.77,0.03,0.02,0.28,4.603130434782608,-1.6453913043478259,-3.9049130434782615,-159.53323623887144,0.2668695652174039,[0. 0.],[0. 0.],[1.53 6.2  3.4 ],[2. 2. 2.]
4.0,1.5,1,0.800000011920929,4.15,8.34,2.67,0.02,0.25,0.4,4.53,-1.6190833333333332,-3.385,-150.4284729850917,0.2596666666666678,[0. 0.],[0. 0.],[1.65 4.26 2.81],[2. 2. 2.]
4.0,1.5,2,0.6333333253860474,3.88,8.13,2.66,0.01,0.05,0.0,4.437315789473683,-1.5857368421052633,-3.1846315789473683,-128.3089578582627,0.27836842105263093,[0. 0.],[0. 0.],[6.16 6.47 4.6 ],[2. 2. 2.]
4.0,1.5,3,0.6000000238418579,4.01,7.02,3.76,0.07,0.43,0.2,4.302611111111111,-1.538,-2.4291666666666667,-149.6618881738092,0.30422222222222217,[0. 0.],[0. 0.],[5.69 6.73 3.76],[2. 2. 2.]
4.0,1.5,4,0.5517241358757019,3.97,10.47,3.32,0.03,0.63,0.11,4.567875000000001,-1.6503125,-4.0926875,-158.80690904498982,0.2566874999999911,[0. 0.],[0. 0.],[4.53 6.86 3.75],[2. 2. 2.]
4.0,1.75,0,0.695652186870575,3.68,3.66,0.25,0.02,0.19,0.02,4.075875,-1.7045,-1.4466875,-113.97680703086093,0.34587500000000215,[0. 0.],[0. 0.],[3.74 3.   1.97],[2. 2. 2.]
4.0,1.75,1,0.7666666507720947,4.49,10.41,0.63,0.07,0.08,0.79,4.992391304347826,-2.0794347826086956,-5.002521739130435,-152.9869500815371,0.23247826086956866,[0. 0.],[0. 0.],[5.47 4.46 1.1 ],[2. 2. 2.]
4.0,1.75,3,0.5,3.79,4.34,1.26,0.02,0.15,0.0,4.136357142857142,-1.7192142857142854,-1.5790714285714282,-127.34914845586134,0.3278571428571532,[0. 0.],[0. 0.],[3.15 1.78 1.73],[2. 2. 2.]
4.0,1.75,4,0.6666666865348816,3.98,7.18,5.96,0.01,0.16,0.16,4.23935,-1.7653500000000002,-1.9763499999999996,-133.37483718704598,0.31125000000000114,[0. 0.],[0. 0.],[3.23 6.38 4.79],[2. 2. 2.]
4.0,1.75,5,0.7333333492279053,3.97,6.5,2.92,0.01,0.21,0.0,4.300499999999999,-1.7931818181818182,-2.263863636363636,-126.39301168356313,0.3081363636363557,[0. 0.],[0. 0.],[3.21 6.42 2.84],[2. 2. 2.]
4.0,2.0,0,0.8333333134651184,3.98,8.44,3.1,0.08,0.14,0.01,4.3888799999999994,-2.0908,-3.04228,-138.18972797126824,0.2824399999999923,[0. 0.],[0. 0.],[5.68 5.73 1.93],[2. 2. 2.]
4.0,2.0,2,0.5714285969734192,4.32,6.86,2.38,0.0,0.01,0.03,4.7212499999999995,-2.2441875,-2.7068749999999997,-118.01678659471693,0.26081249999999656,[0. 0.],[0. 0.],[5.63 6.44 1.72],[2. 2. 2.]
4.0,2.0,5,0.6206896305084229,5.29,11.6,0.84,0.0,0.04,0.01,5.706555555555556,-2.7147222222222225,-6.3995,-133.89656463290785,0.1934444444444302,[0. 0.],[0. 0.],[1.79 7.   1.86],[2. 2. 2.]
4.0,2.25,0,0.6000000238418579,4.1,5.09,4.0,0.03,0.84,0.15,4.4055,-2.363944444444444,-1.4056666666666668,-102.5249416892228,0.3127777777777838,[0. 0.],[0. 0.],[2.97 5.19 5.11],[2. 2. 2.]
4.0,2.25,1,0.4333333373069763,4.26,5.36,1.75,0.03,0.01,0.16,4.535692307692308,-2.4256153846153845,-2.0131538461538465,-117.11093532503854,0.27799999999999897,[0. 0.],[0. 0.],[1.03 4.31 1.45],[2. 2. 2.]
4.0,2.25,2,0.6000000238418579,3.9,2.39,0.89,0.13,0.0,0.03,4.145166666666666,-2.219611111111111,-0.7933888888888889,-83.52326800464827,0.36966666666666803,[0. 0.],[0. 0.],[1.4  2.24 1.99],[2. 2. 2.]
4.0,2.25,3,0.7666666507720947,4.21,9.35,4.79,0.02,0.29,0.02,4.510739130434782,-2.422913043478261,-3.0580000000000003,-146.5907935172151,0.27682608695652844,[0. 0.],[0. 0.],[4.92 4.36 2.78],[2. 2. 2.]
4.0,2.25,4,0.517241358757019,4.0,3.8,2.77,0.01,0.04,0.01,4.342333333333333,-2.3282666666666665,-1.0102,-85.0552789918801,0.3375333333333325,[0. 0.],[0. 0.],[1.45 3.37 1.92],[2. 2. 2.]
4.0,2.5,2,0.8999999761581421,4.08,8.26,4.87,0.03,0.1,0.12,4.436111111111112,-2.641740740740741,-2.4024814814814817,-132.66177445524275,0.28562962962963345,[0. 0.],[0. 0.],[3.8  6.72 5.11],[2. 2. 2.]
4.0,2.5,3,0.9655172228813171,4.04,7.75,2.2,0.05,0.01,0.04,4.5055000000000005,-2.6844285714285716,-2.9024642857142857,-144.4568349745875,0.2742857142857125,[0. 0.],[0. 0.],[4.2  3.53 3.  ],[2. 2. 2.]
4.0,2.5,5,0.699999988079071,4.64,11.86,3.98,0.0,0.03,0.01,5.319761904761906,-3.1630000000000003,-5.055857142857143,-135.52074622284604,0.2131904761904669,[0. 0.],[0. 0.],[2.47 5.45 3.66],[2. 2. 2.]
4.0,2.75,2,0.8999999761581421,3.95,6.26,4.08,0.0,0.01,0.51,4.289592592592593,-2.802222222222222,-1.5859629629629628,-106.03082140552186,0.3054444444444534,[0. 0.],[0. 0.],[4.36 5.03 2.5 ],[2. 2. 2.]
4.0,2.75,4,0.6551724076271057,4.11,3.57,0.97,0.03,0.0,0.05,4.441526315789473,-2.9034210526315793,-1.3092105263157894,-94.44626335546114,0.3035789473684166,[0. 0.],[0. 0.],[6.35 3.69 3.38],[2. 2. 2.]
4.0,2.75,5,0.6333333253860474,4.57,7.08,1.83,0.0,0.09,0.02,5.0617368421052635,-3.3175263157894737,-2.9777894736842105,-115.64108464202452,0.24505263157893273,[0. 0.],[0. 0.],[1.19 6.75 2.32],[2. 2. 2.]
