vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
0.25,20.0,10,0.23,0.09,[4.45 5.39],[2. 2.],4.73,0.03,4.66,0.02,0.0,0.0,0.923,0.0,0.0,0.0,-2.744,0.0,0.391,0.0,1.709,0.0,0.0,,,,,,,,,,,,
0.25,20.0,11,0.23,0.09,[3.84 7.83],[2. 2.],3.81,0.0,8.03,0.01,0.0,0.0,0.894,0.0,0.0,0.0,-3.107,0.0,0.391,0.0,1.709,-0.001,0.0,0.8975,0.1745,0.8975,0.1745,0.2366,0.0031,0.0562,0.0004,,,930.5277,57.371
0.25,20.0,20,0.23,0.09,[1.   5.12],[2. 2.],3.95,0.01,5.25,2.1,0.0,0.0,0.943,0.0,0.8711,0.0,-3.912,0.0,2.04,0.0,0.06,0.056,0.0,0.856,0.1405,0.856,0.1405,0.2378,0.0029,0.0563,0.0005,,,418.4411,29.1652
0.25,20.0,21,0.23,0.09,[2.5  6.13],[2. 2.],3.43,0.01,8.48,0.0,0.0,0.0,0.89,0.0,0.7994,0.0,-3.105,0.0,2.015,0.0,0.085,0.076,0.0,0.8322,0.1347,0.8322,0.1347,0.2377,0.0036,0.0563,0.0005,,,283.4303,28.7877
0.25,20.0,22,0.23,0.09,[4.   6.81],[2. 2.],3.24,0.51,3.01,3.3,0.0,0.0,0.889,0.0,0.0,0.0,-3.104,0.0,0.391,0.0,1.709,-0.002,0.0,0.8313,0.1216,0.8313,0.1216,0.2371,0.0045,0.0562,0.0004,,,356.3108,28.2222
0.25,25.0,10,0.23,0.11,[3.38 6.84],[2. 2.],2.85,0.05,7.97,0.29,0.0,0.0,0.927,0.0,1.0,0.0,-2.446,0.0,1.994,0.0,0.106,0.106,0.0,1.4436,0.3569,1.4436,0.3569,0.2125,0.0008,0.076,0.0,,,633.7865,56.8041
0.25,25.0,11,0.23,0.11,[2.62 6.43],[2. 2.],1.97,0.0,3.41,0.21,0.0,0.0,1.213,0.0,1.4553,0.0,-3.407,0.0,2.037,0.0,0.063,0.076,0.0,1.4862,0.3572,1.4862,0.3572,0.2125,0.001,0.076,0.0,,,719.1413,58.6417
0.25,25.0,20,0.23,0.11,[1.   7.02],[2. 2.],1.93,0.0,6.53,0.09,0.0,0.0,1.271,0.0,1.6044,0.0,-3.548,0.0,2.04,0.0,0.06,0.076,0.0,1.3206,0.3478,1.3206,0.3478,0.2126,0.0013,0.076,0.0,,,298.112,30.0265
0.25,25.0,21,0.23,0.11,[2.5  5.43],[2. 2.],2.82,0.0,3.44,0.0,0.0,0.0,1.07,0.0,1.1437,0.0,-3.213,0.0,2.028,0.0,0.072,0.077,0.0,1.3707,0.357,1.3707,0.357,0.2124,0.0009,0.076,0.0,,,493.5966,29.9194
0.25,25.0,22,0.23,0.11,[4.   6.84],[2. 2.],3.42,0.0,5.56,0.0,0.0,0.0,0.947,0.0,0.889,0.0,-2.449,0.0,1.995,0.0,0.105,0.099,0.0,1.3004,0.348,1.3004,0.348,0.2123,0.0011,0.076,0.0,,,477.8449,29.485
0.25,30.0,10,0.22,0.12,[2.77 6.14],[2. 2.],2.14,0.0,5.67,0.02,0.0,0.0,1.03,0.0,1.0425,0.0,-2.428,0.0,2.005,0.0,0.095,0.097,0.0,2.2886,0.9595,2.2886,0.9595,0.1987,0.0005,0.096,0.0,,,852.5892,55.3205
0.25,30.0,11,0.22,0.12,[7.06 7.87],[2. 2.],5.3,0.01,8.1,0.27,0.0,0.0,1.03,0.0,1.0425,0.0,-2.428,0.0,2.005,0.0,0.095,0.097,0.0,2.0449,0.7985,2.0449,0.7985,0.1986,0.0006,0.096,0.0002,,,863.1603,56.5827
0.25,30.0,20,0.22,0.12,[1.   5.51],[2. 2.],1.95,0.0,4.1,0.19,0.0,0.0,0.928,0.0,1.0,0.0,-1.988,0.0,1.975,0.0,0.125,0.125,0.0,2.4699,0.9624,2.4699,0.9624,0.1986,0.0007,0.096,0.0002,,,446.1365,30.0987
0.25,30.0,21,0.22,0.12,[2.5  7.03],[2. 2.],1.27,0.0,7.3,0.06,0.0,0.0,1.2744,0.0049,1.637,0.0137,-2.7616,0.0267,2.025,0.0003,0.075,0.096,0.0,0.0,0.0,1.6239,0.2649,0.145,0.0057,-0.1978,0.0171,,,0.0947,0.0032
0.25,30.0,22,0.22,0.12,[4.   6.16],[2. 2.],4.68,0.05,6.06,0.03,0.0,0.0,1.299,0.0,1.683,0.0,-2.799,0.0,2.026,0.0,0.074,0.096,0.0,2.0495,0.8736,2.0495,0.8736,0.1988,0.0004,0.096,0.0,,,159.0733,30.7935
0.25,35.0,10,0.2,0.14,[2.5  5.33],[2. 2.],4.05,0.01,5.3,0.0,0.0,0.0,0.957,0.0,0.9178,0.0,-1.646,0.0,1.957,0.0,0.143,0.137,0.0,2.5549,0.3857,2.5549,0.3857,0.1865,0.0005,0.114,0.0,,,901.7361,58.5984
0.25,35.0,11,0.2,0.14,[7.23 7.11],[2. 2.],4.47,0.21,5.67,0.47,0.0,0.0,1.717,0.0,2.8951,0.0,-2.815,0.0,2.033,0.0,0.067,0.114,0.0,,,,,,,,,,,,
0.25,35.0,20,0.2,0.14,[1.  5.6],[2. 2.],3.36,0.45,3.16,0.23,0.0,0.0,1.789,0.0,3.1729,0.0,-2.93,0.0,2.036,0.0,0.064,0.114,0.0,2.7173,0.7784,2.7173,0.7784,0.1863,0.0005,0.114,0.0,,,213.4182,30.9546
0.25,35.0,21,0.2,0.14,[2.5  5.54],[2. 2.],2.0,0.0,5.33,0.0,0.0,0.0,1.938,0.0,3.61,0.0,-3.18,0.0,2.04,0.0,0.06,0.114,0.0,2.5936,0.4949,2.5936,0.4949,0.1864,0.0005,0.114,0.0,,,258.7794,30.9623
0.25,35.0,22,0.2,0.14,[4.   5.14],[2. 2.],5.13,0.01,7.76,0.05,0.0,0.0,1.236,0.0,1.5026,0.0,-2.234,0.0,2.007,0.0,0.093,0.114,0.0,2.9418,0.8401,2.9418,0.8401,0.1863,0.0005,0.114,0.0,,,496.1082,31.039
0.25,40.0,10,0.19,0.16,[5.09 4.91],[2. 2.],4.43,0.0,6.4,0.1,0.0,0.0,1.504,0.0,2.216,0.0,-2.061,0.0,2.012,0.0,0.088,0.131,0.0,,,,,,,,,,,,
0.25,40.0,11,0.19,0.16,[4.99 3.64],[2. 2.],5.71,0.01,1.76,0.13,0.0,0.0,1.974,0.0,3.9396,0.0,-2.603,0.0,2.034,0.0,0.066,0.131,0.0,3.2942,0.5275,3.2942,0.5275,0.1738,0.0005,0.131,0.0,,,937.968,56.7203
0.25,40.0,20,0.19,0.16,[1.   3.74],[2. 2.],3.62,0.06,2.92,0.17,0.0,0.0,2.098,0.0,4.1897,0.0,-2.774,0.0,2.036,0.0,0.064,0.131,0.0,3.401,0.5007,3.401,0.5007,0.1738,0.0007,0.131,0.0,,,314.8038,31.4718
0.25,40.0,21,0.19,0.16,[2.5  3.37],[2. 2.],3.66,0.02,4.88,0.25,0.0,0.0,1.934,0.0,3.6045,0.0,-2.547,0.0,2.031,0.0,0.069,0.131,0.0,3.4023,0.498,3.4023,0.498,0.1737,0.0006,0.131,0.0,,,382.0483,31.3426
0.25,40.0,22,0.19,0.16,[4.   5.83],[2. 2.],4.87,0.01,8.42,0.01,0.0,0.0,2.205,0.0,4.7669,0.0,-2.927,0.0,2.04,0.0,0.06,0.131,0.0,,,,,,,,,,,,
0.25,45.0,10,0.18,0.18,[4.78 6.33],[2. 2.],4.3,0.06,8.95,0.0,0.0,0.0,2.383,0.0,5.4444,0.0,-2.568,0.0,2.037,0.0,0.063,0.147,0.0,,,,,,,,,,,,
0.25,45.0,11,0.18,0.18,[4.34 3.19],[2. 2.],4.48,0.02,0.97,0.12,0.0,0.0,1.122,0.0,1.2551,0.0,-1.432,0.0,1.967,0.0,0.133,0.149,0.0,3.94,0.5066,3.94,0.5066,0.0,0.0,0.0004,0.0005,,,952.7554,57.6109
0.25,45.0,20,0.18,0.18,[1.   3.56],[2. 2.],3.96,0.09,7.09,0.01,0.0,0.0,2.285,0.0,4.9607,0.0,-2.466,0.0,2.034,0.0,0.066,0.147,0.0,3.7393,0.5877,3.7393,0.5877,0.0,0.0,0.0004,0.0005,,,286.5251,25.3025
0.25,45.0,21,0.18,0.18,[2.5  3.59],[2. 2.],4.84,0.0,4.64,0.0,0.0,0.0,1.278,0.0,1.6278,0.0,-1.526,0.0,1.984,0.0,0.116,0.148,0.0,3.8644,0.6105,3.8652,0.611,0.0,0.0,0.0005,0.0005,,,373.4747,25.8707
0.25,45.0,22,0.18,0.18,[4.   4.56],[2. 2.],3.32,0.0,4.24,0.16,0.0,0.0,2.106,0.0,4.2866,0.0,-2.269,0.0,2.029,0.0,0.071,0.147,0.0,3.9407,0.5059,3.9407,0.5059,0.0,0.0,0.0006,0.0005,,,403.6724,25.6146
0.25,50.0,10,0.16,0.19,[4.14 7.75],[2. 2.],4.71,0.09,6.17,0.0,0.0,0.0,1.642,0.0,2.6244,0.0,-1.479,0.0,2.0,0.0,0.1,0.162,0.0,3.5193,0.1461,4.2024,0.6272,0.0,0.0,0.0005,0.0005,,,955.8727,57.9631
0.25,50.0,11,0.16,0.19,[3.14 7.98],[2. 2.],4.47,0.36,8.21,0.0,0.0,0.0,2.4367,0.1196,5.689,0.504,-2.1611,0.1123,2.0318,0.0037,0.0682,0.162,0.0,,,,,,,,,,,,
0.25,50.0,20,0.16,0.19,[1.   4.83],[2. 2.],6.52,0.06,5.14,0.34,0.0,0.0,1.38,0.0,1.9172,0.0,-1.337,0.0,1.983,0.0,0.117,0.162,0.0,3.5086,0.1574,4.1153,0.6512,0.0,0.0,0.0004,0.0005,,,311.2818,25.791
0.25,50.0,21,0.16,0.19,[2.5  4.07],[2. 2.],3.44,0.0,1.16,0.02,0.0,0.0,2.754,0.0,7.5392,0.0,-2.457,0.0,2.041,0.0,0.059,0.162,0.0,3.5465,0.134,4.3342,0.5651,0.0,0.0,0.0006,0.0005,,,337.7489,25.3939
0.25,50.0,22,0.16,0.19,[4.   5.53],[2. 2.],3.96,0.0,4.53,0.01,0.0,0.0,1.458,0.0,2.13,0.0,-1.374,0.0,1.989,0.0,0.111,0.162,0.0,3.5428,0.1384,4.2918,0.5879,0.0,0.0,0.0004,0.0005,,,384.8503,25.2384
0.25,55.0,20,0.14,0.2,[1.   6.44],[2. 2.],5.04,0.06,5.91,0.0,0.0,0.0,2.025,0.0,3.9547,0.0,-1.446,0.0,2.012,0.0,0.088,0.175,0.0,3.043,0.1373,4.3787,0.7485,0.0,0.0,0.001,0.001,,,340.8861,25.6601
0.25,55.0,21,0.14,0.2,[2.5 3.7],[2. 2.],3.86,0.03,2.2,0.01,0.0,0.0,0.953,0.0,0.9231,0.0,-0.848,0.0,1.896,0.0,0.204,0.196,0.0,3.0531,0.1415,4.2252,0.7541,0.0,0.0,0.0012,0.001,,,373.7257,25.3261
0.25,55.0,22,0.14,0.2,[4.   7.97],[2. 2.],5.15,0.64,6.39,0.01,0.0,0.0,2.0223,0.0758,4.0445,0.3361,-1.4445,0.0541,2.0128,0.003,0.0872,0.175,0.0,2.9368,0.5596,4.2644,1.0623,0.0043,0.0232,0.0069,0.0312,,,42.0559,27.4073
0.25,60.0,10,0.13,0.22,[4.9  3.33],[2. 2.],5.63,0.0,4.03,0.01,0.0,0.0,2.651,0.0,6.7456,0.0,-1.557,0.0,2.028,0.0,0.072,0.187,0.0,2.3083,0.1717,4.4815,0.8892,0.0,0.0,0.0011,0.001,,,915.9486,58.6325
0.25,60.0,11,0.13,0.22,[3.69 3.43],[2. 2.],2.37,0.01,6.18,0.04,0.0,0.0,2.3916,0.0266,5.554,0.138,-1.3718,0.0175,2.0206,0.001,0.0794,0.187,0.0,0.0,0.0,1.2348,0.3694,0.054,0.01,-0.1769,0.0339,,,0.0981,0.0054
0.25,60.0,20,0.13,0.22,[1.   3.03],[2. 2.],4.8,0.04,2.24,0.2,0.0,0.0,2.542,0.0,6.2167,0.0,-1.468,0.0,2.025,0.0,0.075,0.187,0.0,2.3262,0.1734,4.4246,0.8855,0.0,0.0,0.0009,0.001,,,348.6054,25.1535
0.25,60.0,21,0.13,0.22,[2.5  6.62],[2. 2.],3.9,0.01,7.07,0.01,0.0,0.0,3.087,0.0,9.7136,0.0,-1.854,0.0,2.04,0.0,0.06,0.187,0.0,2.2993,0.1644,4.5433,0.8852,0.0,0.0,0.0009,0.001,,,311.6136,25.4713
0.25,60.0,22,0.13,0.22,[4.   3.32],[2. 2.],4.42,0.0,1.18,0.07,0.0,0.0,3.011,0.0,8.8105,0.0,-1.792,0.0,2.037,0.0,0.063,0.187,0.0,2.3057,0.1879,4.4845,0.8855,0.0,0.0,0.0011,0.001,,,407.3109,25.8946
0.25,65.0,20,0.11,0.23,[1.   7.15],[2. 2.],4.42,0.04,8.32,0.0,0.0,0.0,3.101,0.0,9.1856,0.0,-1.447,0.0,2.035,0.0,0.065,0.197,0.0,1.9639,0.0012,4.7175,1.0104,0.0,0.0,0.0011,0.001,,,81.9318,25.5175
0.25,65.0,21,0.11,0.23,[2.5  4.24],[2. 2.],5.13,0.0,2.37,0.02,0.0,0.0,1.294,0.0,1.6318,0.0,-0.719,0.0,1.945,0.0,0.155,0.198,0.0,1.964,0.0012,4.4489,0.9914,0.0,0.0,0.0009,0.001,,,370.9561,25.2492
0.25,65.0,22,0.11,0.23,[4.   4.04],[2. 2.],5.33,0.06,2.1,0.04,0.0,0.0,2.644,0.0,6.8994,0.0,-1.196,0.0,2.025,0.0,0.075,0.197,0.0,1.9641,0.0011,4.4445,0.9945,0.0,0.0,0.0009,0.001,,,323.2042,25.3027
0.25,70.0,10,0.09,0.23,[4.4  6.62],[2. 2.],5.43,0.19,4.94,0.21,0.0,0.0,2.875,0.0,8.4182,0.0,-0.977,0.0,2.029,0.0,0.071,0.206,0.0,1.49,0.2063,4.939,1.0245,0.0,0.0,0.0011,0.001,,,511.4728,58.0624
0.25,70.0,11,0.09,0.23,[5.87 6.93],[2. 2.],6.14,0.01,8.91,0.03,0.0,0.0,3.382,0.0,11.0395,0.0,-1.22,0.0,2.038,0.0,0.062,0.206,0.0,1.4749,0.3416,4.611,1.3221,0.0,0.0,0.0013,0.001,,,914.1244,55.2238
0.25,70.0,20,0.09,0.23,[1.   7.13],[2. 2.],2.0,0.01,9.59,0.01,0.0,0.0,2.0257,0.02,3.9602,0.0877,-0.6656,0.0058,1.997,0.0011,0.103,0.205,0.0,0.0,0.0,3.4079,1.0058,-0.0812,0.0203,-0.0585,0.0224,,,0.1105,0.0035
0.25,70.0,21,0.09,0.23,[2.5 5.9],[2. 2.],4.74,0.02,4.49,0.03,0.0,0.0,3.392,0.0,11.0395,0.0,-1.206,0.0,2.038,0.0,0.062,0.206,0.0,1.615,0.1899,4.3093,0.9605,0.0,0.0,0.0011,0.001,,,270.9892,25.3955
0.25,70.0,22,0.09,0.23,[4.   5.26],[2. 2.],6.87,0.01,2.57,0.17,0.0,0.0,2.926,0.0,8.186,0.0,-1.001,0.0,2.028,0.0,0.072,0.206,0.0,1.536,0.2076,4.729,1.0479,0.0,0.0,0.001,0.001,,,394.6329,25.4717
0.25,75.0,20,0.06,0.24,[1.   6.48],[2. 2.],4.47,0.06,5.59,0.17,0.0,0.0,3.335,0.0,10.6376,0.0,-0.813,0.0,2.035,0.0,0.065,0.212,0.0,,,,,,,,,,,,
0.25,75.0,21,0.06,0.24,[2.5  4.24],[2. 2.],6.12,1.1,3.53,0.03,0.0,0.0,3.4628,0.1305,12.1158,0.9398,-0.8692,0.0428,2.0389,0.0027,0.0611,0.212,0.0,1.518,0.3658,4.2834,1.2562,0.0017,0.0092,0.0079,0.0379,,,312.7727,123.4194
0.25,75.0,22,0.06,0.24,[4.   6.59],[2. 2.],3.99,0.0,4.94,0.0,0.0,0.0,3.18,0.0,10.012,0.0,-0.761,0.0,2.033,0.0,0.067,0.212,0.0,,,,,,,,,,,,
0.25,80.0,10,0.04,0.25,[3.03 3.01],[2. 2.],3.99,0.08,4.98,0.03,0.0,0.0,3.478,0.0,12.25,0.0,-0.521,0.0,2.038,0.0,0.062,0.217,0.0,1.4592,0.2503,4.8119,1.0689,0.0,0.0,0.0005,0.0009,,,642.3024,58.7281
0.25,80.0,11,0.04,0.25,[7.03 4.29],[2. 2.],6.13,0.01,2.2,0.16,0.0,0.0,3.212,0.0,9.8906,0.0,-0.438,0.0,2.031,0.0,0.069,0.217,0.0,1.4263,0.2462,4.9556,1.0498,0.0,0.0,0.0008,0.001,,,907.265,58.9577
0.25,80.0,20,0.04,0.25,[1.   5.45],[2. 2.],2.93,0.0,5.14,0.03,0.0,0.0,2.9676,0.0266,8.4181,0.1466,-0.39,0.0096,2.0252,0.0007,0.0748,0.217,0.0,0.0,0.0,0.7651,0.1838,-0.0005,0.0056,-0.1449,0.0358,,,0.0882,0.0056
0.25,80.0,21,0.04,0.25,[2.5  4.68],[2. 2.],6.23,0.2,4.33,0.0,0.0,0.0,3.669,0.0,13.5274,0.0,-0.559,0.0,2.041,0.0,0.059,0.217,0.0,1.4729,0.2502,4.736,1.0748,0.0,0.0,0.0009,0.001,,,73.57,25.5161
0.25,80.0,22,0.04,0.25,[4.  3.1],[2. 2.],5.3,0.01,2.49,0.0,0.0,0.0,3.098,0.0,9.0835,0.0,-0.416,0.0,2.028,0.0,0.072,0.217,0.0,1.4404,0.2481,4.882,1.066,0.0,0.0,0.0007,0.001,,,387.3435,25.3473
0.25,85.0,20,0.02,0.25,[1.  5.8],[2. 2.],2.42,0.02,7.12,0.0,0.0,0.0,2.4596,0.0287,6.0586,0.1504,-0.0496,0.0036,2.0106,0.0011,0.0894,0.22,0.0,0.0,0.0,1.2946,0.3628,-0.0822,0.0119,-0.1528,0.0239,,,0.1098,0.0036
0.25,85.0,21,0.02,0.25,[2.5  3.53],[2. 2.],5.46,0.0,4.81,0.01,0.0,0.0,1.842,0.0,3.4178,0.0,-0.04,0.0,1.981,0.0,0.119,0.22,0.0,1.3955,0.2439,4.8971,1.0508,0.0,0.0,0.0006,0.0008,,,373.5847,25.6281
0.25,85.0,22,0.02,0.25,[4.  4.9],[2. 2.],5.95,0.02,6.29,0.0,0.0,0.0,2.306,0.0,5.144,0.0,-0.041,0.0,2.003,0.0,0.097,0.22,0.0,1.4937,0.2458,4.4688,1.0514,0.0,0.0,0.0006,0.0008,,,371.5982,25.6008
0.25,90.0,10,0.0,0.25,[4.58 7.4 ],[2. 2.],5.82,0.0,7.93,0.04,0.0,0.0,3.295,0.0,10.2586,0.0,0.185,0.0,2.031,0.0,0.069,0.221,0.0,1.4499,0.2441,4.3718,1.0406,0.0,0.0,0.0007,0.0009,,,766.8945,57.9842
0.25,90.0,11,0.0,0.25,[3.62 5.79],[2. 2.],4.85,0.02,7.33,0.03,0.0,0.0,3.199,0.0,10.2586,0.0,0.194,0.0,2.031,0.0,0.069,0.221,0.0,1.4495,0.2436,4.3712,1.0413,0.0,0.0,0.001,0.0009,,,896.1016,59.7971
0.25,90.0,20,0.0,0.25,[1.  4.7],[2. 2.],6.4,0.09,7.05,0.01,0.0,0.0,3.43,0.0,11.9241,0.0,0.189,0.0,2.036,0.0,0.064,0.221,0.0,1.5005,0.2274,4.1586,0.9746,0.0,0.0,0.0008,0.0009,,,339.3041,25.4691
0.25,90.0,21,0.0,0.25,[2.5 5.7],[2. 2.],2.27,0.01,8.27,0.05,0.0,0.0,2.3056,0.0141,5.149,0.0701,0.1874,0.0021,2.0026,0.0007,0.0974,0.221,0.0,0.0,0.0,1.8927,0.5062,-0.1269,0.0138,-0.0966,0.0222,,,0.1098,0.0029
0.25,90.0,22,0.0,0.25,[4.   4.88],[2. 2.],4.74,0.06,5.57,0.0,0.0,0.0,3.095,0.0,9.1651,0.0,0.19,0.0,2.027,0.0,0.073,0.221,0.0,1.4655,0.2393,4.2991,1.0235,0.0,0.0,0.001,0.0009,,,341.5455,25.3826
0.5,20.0,10,0.47,0.17,[5.94 6.21],[2. 2.],5.66,0.0,5.55,0.1,0.0,0.0,1.743,0.0,3.0733,0.0,-5.571,0.0,2.019,0.0,0.081,0.142,0.0,3.4723,0.8289,3.4723,0.8289,0.4506,0.0014,0.1419,0.0002,,,926.278,59.0688
0.5,20.0,11,0.47,0.17,[4.82 4.85],[2. 2.],6.51,0.28,6.91,0.59,0.0,0.0,1.743,0.0,3.0733,0.0,-5.571,0.0,2.019,0.0,0.081,0.142,0.0,3.5383,0.7491,3.5383,0.7491,0.4503,0.0012,0.142,0.0002,,,931.5583,54.2726
0.5,20.0,20,0.47,0.17,[1.   5.67],[2. 2.],3.71,0.01,4.24,0.15,0.0,0.0,1.765,0.0,3.0733,0.0,-5.641,0.0,2.019,0.0,0.081,0.142,0.0,3.4917,0.666,3.4917,0.666,0.4505,0.0015,0.142,0.0002,,,406.7533,31.5689
0.5,20.0,21,0.47,0.17,[2.5  6.37],[2. 2.],4.21,0.0,5.35,0.01,0.0,0.0,2.21,0.0,4.7725,0.0,-7.016,0.0,2.035,0.0,0.065,0.142,0.0,3.4825,0.6312,3.4825,0.6312,0.451,0.0022,0.142,0.0002,,,420.9838,31.7025
0.5,20.0,22,0.47,0.17,[4.   4.45],[2. 2.],4.68,0.0,4.5,0.01,0.0,0.0,0.961,0.0,0.0,0.0,-2.937,0.0,0.391,0.0,1.709,-0.001,0.0,3.3426,0.6494,3.3426,0.6494,0.4504,0.0013,0.142,0.0,,,495.5876,32.1238
0.5,25.0,10,0.45,0.21,[4.96 7.66],[2. 2.],6.01,0.27,5.88,0.03,0.0,0.0,2.719,0.0,7.3789,0.0,-6.543,0.0,2.033,0.0,0.067,0.182,0.0,4.7707,0.6802,4.7707,0.6802,0.0,0.0,0.0019,0.0004,,,422.8504,58.7497
0.5,25.0,11,0.45,0.21,[3.46 3.26],[2. 2.],3.28,0.0,6.56,0.34,0.0,0.0,3.089,0.0,9.2011,0.0,-7.487,0.0,2.04,0.0,0.06,0.182,0.0,4.8699,0.6271,4.8699,0.6271,0.0,0.0,0.0018,0.0005,,,432.5706,55.5216
0.5,25.0,20,0.45,0.21,[1.   5.82],[2. 2.],4.17,0.03,5.91,0.0,0.0,0.0,1.761,0.0,3.0044,0.0,-4.242,0.0,1.995,0.0,0.105,0.182,0.0,4.4236,0.741,4.4236,0.741,0.0011,0.0029,0.0014,0.0008,,,348.6044,25.6619
0.5,25.0,21,0.45,0.21,[2.5  5.58],[2. 2.],1.93,0.0,8.29,0.0,0.0,0.0,1.9572,0.0129,3.788,0.0933,-4.687,0.0306,2.0065,0.0011,0.0935,0.182,0.0,0.0,0.0,1.0638,0.5074,0.3024,0.0026,-0.1624,0.0042,,,0.1146,0.0025
0.5,25.0,22,0.45,0.21,[4.   6.92],[2. 2.],3.62,0.0,7.73,0.11,0.0,0.0,3.037,0.0,8.9019,0.0,-7.297,0.0,2.039,0.0,0.061,0.182,0.0,4.5245,0.7395,4.5245,0.7395,0.001,0.005,0.0008,0.0009,,,277.4328,25.1846
0.5,30.0,10,0.43,0.25,[7.07 5.71],[2. 2.],6.39,0.05,6.35,0.0,0.0,0.0,2.843,0.0,8.2376,0.0,-5.363,0.0,2.023,0.0,0.077,0.221,0.0,,,,,,,,,,,,
0.5,30.0,11,0.43,0.25,[4.03 4.67],[2. 2.],5.89,0.02,5.51,0.09,0.0,0.0,3.687,0.0,13.5669,0.0,-6.988,0.0,2.04,0.0,0.06,0.221,0.0,6.274,0.3237,6.274,0.3237,0.0,0.0,0.0011,0.001,,,889.136,58.5219
0.5,30.0,20,0.43,0.25,[1.   4.19],[2. 2.],4.86,0.01,2.46,0.08,0.0,0.0,3.743,0.0,14.0307,0.0,-7.135,0.0,2.041,0.0,0.059,0.221,0.0,5.9139,0.7618,5.9139,0.7618,0.0002,0.0009,0.0012,0.001,,,260.426,25.5764
0.5,30.0,21,0.43,0.25,[2.5  3.77],[2. 2.],4.58,0.0,7.21,0.04,0.0,0.0,3.568,0.0,13.1258,0.0,-6.748,0.0,2.039,0.0,0.061,0.221,0.0,6.094,0.6113,6.094,0.6113,0.0,0.0,0.0014,0.0009,,,258.4221,25.7822
0.5,30.0,22,0.43,0.25,[4.   6.14],[2. 2.],4.46,0.02,3.36,0.02,0.0,0.0,1.388,0.0,1.8842,0.0,-2.728,0.0,1.939,0.0,0.161,0.221,0.0,6.0948,0.6093,6.0948,0.6093,0.0,0.0,0.001,0.001,,,400.1422,25.3922
0.5,35.0,10,0.41,0.29,[4.66 7.01],[2. 2.],5.55,0.85,7.9,0.4,0.0,0.0,4.3171,0.1005,17.3051,0.7628,-6.6877,0.1719,2.0382,0.0016,0.0618,0.257,0.0,,,,,,,,,,,,
0.5,35.0,11,0.41,0.29,[3.89 7.91],[2. 2.],3.07,0.03,7.56,0.02,0.0,0.0,3.1283,0.0357,9.4917,0.3728,-4.7688,0.059,2.0165,0.0016,0.0835,0.257,0.0,6.4018,0.6693,7.9944,0.1268,0.3637,0.0046,0.063,0.0169,,,0.0719,0.0024
0.5,35.0,20,0.41,0.29,[1.   4.64],[2. 2.],4.49,0.01,3.8,0.18,0.0,0.0,4.262,0.0,18.3469,0.0,-6.607,0.0,2.04,0.0,0.06,0.257,0.0,7.0489,0.7757,7.0489,0.7757,0.0,0.0,0.0007,0.001,,,249.6579,25.763
0.5,35.0,21,0.41,0.29,[2.5  3.43],[2. 2.],2.98,0.01,6.2,0.08,0.0,0.0,3.0355,0.0337,8.8107,0.2072,-4.6226,0.0593,2.0134,0.001,0.0866,0.257,0.0,0.8377,1.0871,3.4886,1.2616,0.3408,0.0089,-0.0936,0.037,,,0.0963,0.0062
0.5,35.0,22,0.41,0.29,[4.   7.08],[2. 2.],2.79,0.01,6.88,0.01,0.0,0.0,2.8301,0.022,7.638,0.12,-4.3069,0.0347,2.007,0.0007,0.093,0.257,0.0,0.0,0.0,1.9756,0.6877,0.3063,0.0119,-0.1337,0.0303,,,0.1086,0.004
0.5,40.0,10,0.38,0.32,[6.26 3.74],[2. 2.],5.71,0.0,5.16,0.0,0.0,0.0,4.937,0.0,13.5274,0.0,-6.268,0.0,2.041,0.0,0.059,0.217,0.0,8.0032,0.8773,8.0032,0.8773,0.0,0.0,0.0013,0.0015,,,828.3877,57.0765
0.5,40.0,11,0.38,0.32,[4.59 3.07],[2. 2.],5.75,0.0,4.12,0.02,0.0,0.0,4.765,0.0,20.8164,0.0,-6.037,0.0,2.036,0.0,0.064,0.292,0.0,7.923,0.941,7.923,0.941,0.0,0.0,0.0018,0.0015,,,818.6796,60.5024
0.5,40.0,20,0.38,0.32,[1.   6.94],[2. 2.],4.91,0.05,4.62,0.01,0.0,0.0,4.8932,0.0372,22.4128,2.6737,-6.2242,0.051,2.0392,0.0017,0.0608,0.287,0.0187,7.4592,1.2323,7.4592,1.2323,0.1606,0.1837,0.1274,0.1439,,,3.045,4.5703
0.5,40.0,21,0.38,0.32,[2.5  4.69],[2. 2.],3.57,0.0,4.99,0.01,0.0,0.0,3.6343,0.0396,12.5624,0.28,-4.573,0.0516,2.0176,0.0009,0.0824,0.292,0.0,1.1459,1.077,1.5931,0.9031,0.3272,0.0064,-0.1535,0.0366,,,0.1006,0.0058
